# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11027347320488
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.67%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] process_one_work
     0.67%     0.00%  java             [kernel.kallsyms]         [k] try_to_migrate
     0.67%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.66%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages
     0.66%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.66%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __page_cache_alloc
     0.66%     0.10%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.65%     0.46%  localfetcher#1   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.64%     0.03%  java             [kernel.kallsyms]         [k] do_sched_yield
     0.64%     0.05%  InMemoryMerger   [kernel.kallsyms]         [k] add_to_page_cache_lru
     0.60%     0.01%  java             [kernel.kallsyms]         [k] schedule
     0.59%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] __pagevec_lru_add
     0.59%     0.57%  LocalJobRunner   [kernel.kallsyms]         [k] __ptep_modify_prot_start
     0.58%     0.12%  java             [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.58%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] alloc_pages_vma
     0.58%     0.06%  localfetcher#1   [kernel.kallsyms]         [k] __mem_cgroup_charge
     0.58%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_da_write_end
     0.56%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] generic_write_end
     0.56%     0.11%  java             [kernel.kallsyms]         [k] __schedule
     0.55%     0.08%  java             [kernel.kallsyms]         [k] __mem_cgroup_charge
     0.54%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] exc_page_fault
     0.54%     0.05%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     0.53%     0.53%  pool-4-thread-1  [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.53%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_da_write_end
     0.53%     0.00%  VM Thread        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.53%     0.00%  VM Thread        [kernel.kallsyms]         [k] do_syscall_64
     0.52%     0.01%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.52%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_write_end
     0.51%     0.01%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     0.51%     0.12%  java             [kernel.kallsyms]         [k] try_to_migrate_one
     0.51%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.50%     0.35%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.50%     0.50%  swapper          [unknown]                 [.] 0000000000000000
     0.50%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_user_addr_fault
     0.49%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_block_write_begin
     0.49%     0.38%  InMemoryMerger   [kernel.kallsyms]         [k] __add_to_page_cache_locked
