# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.43%     0.00%  postgres         [kernel.kallsyms]     [k] irq_exit_rcu
     0.43%     0.00%  postgres         [kernel.kallsyms]     [k] run_rebalance_domains
     0.42%     0.03%  swapper          [kernel.kallsyms]     [k] load_new_mm_cr3
     0.42%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] try_to_wake_up
     0.42%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] ep_poll_callback
     0.41%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up
     0.41%     0.35%  postgres         [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] default_wake_function
     0.40%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] autoremove_wake_function
     0.40%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_map_blocks
     0.39%     0.39%  postgres         [kernel.kallsyms]     [k] __free_one_page
     0.39%     0.00%  postgres         [kernel.kallsyms]     [k] mpage_prepare_extent_to_map
     0.39%     0.39%  kworker/u97:3+f  [kernel.kallsyms]     [k] bio_associate_blkg_from_css
     0.39%     0.00%  kworker/u97:3+f  [kernel.kallsyms]     [k] bio_associate_blkg
     0.39%     0.34%  postgres         [kernel.kallsyms]     [k] __cgroup_account_cputime
     0.38%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_fsync
     0.38%     0.00%  postgres         [kernel.kallsyms]     [k] vfs_fsync_range
     0.38%     0.28%  postgres         [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.36%     0.36%  swapper          [kernel.kallsyms]     [k] __switch_to
     0.35%     0.34%  postgres         [kernel.kallsyms]     [k] vm_normal_page
     0.34%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.34%     0.30%  postgres         [kernel.kallsyms]     [k] ext4_find_extent
     0.34%     0.34%  tclsh8.6         [kernel.kallsyms]     [k] available_idle_cpu
     0.33%     0.19%  postgres         [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.33%     0.01%  postgres         [kernel.kallsyms]     [k] filemap_get_read_batch
     0.33%     0.00%  postgres         [kernel.kallsyms]     [k] mpage_submit_page
