# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.06%     0.06%  postgres    [kernel.kallsyms]  [k] uncharge_page
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] __handle_mm_fault
     0.05%     0.04%  postgres    [kernel.kallsyms]  [k] PageHuge
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] pagecache_get_page
     0.05%     0.03%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.05%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_misplaced_page
     0.05%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_pages
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_common
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_common_lock
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_sync_key
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] default_wake_function
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] pollwake
     0.05%     0.00%  postgres    [kernel.kallsyms]  [k] sock_def_readable
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] io_schedule
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_block_write_begin
     0.04%     0.04%  postgres    [unknown]          [.] 0000000000000000
     0.04%     0.02%  tclsh8.6    [kernel.kallsyms]  [k] __wake_up_common
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __wake_up_common_lock
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __wake_up_sync_key
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] hrtimer_interrupt
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_map_pages
