# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 9560623236151
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.32%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.32%     0.20%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.31%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.31%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.31%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.31%     0.30%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.30%     0.00%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.30%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] try_to_wake_up
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.29%     0.03%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.29%     0.01%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.28%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.28%     0.00%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.28%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.28%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
     0.27%     0.00%  swapper          [kernel.kallsyms]                   [k] get_next_timer_interrupt
     0.27%     0.22%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.27%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.27%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] dma_pool_alloc
     0.26%     0.03%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.26%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.25%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.25%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.25%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.25%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.25%     0.02%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.25%     0.02%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
