# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 866K of event 'cycles'
# Event count (approx.): 1602162872228
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     0.61%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     0.61%     0.61%  Executor task l  [kernel.kallsyms]                    [k] arch_scale_freq_tick
     0.61%     0.01%  GC Thread#22     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.61%     0.01%  GC Thread#12     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.60%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] __run_hrtimer
     0.60%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] tick_sched_timer
     0.60%     0.01%  GC Thread#12     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.60%     0.14%  Executor task l  [kernel.kallsyms]                    [k] __alloc_file
     0.60%     0.01%  GC Thread#22     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.60%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] __run_hrtimer
     0.59%     0.01%  GC Thread#19     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.59%     0.01%  GC Thread#20     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.59%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     0.59%     0.00%  G1 Refine#5      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.59%     0.01%  G1 Conc#4        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.58%     0.01%  G1 Conc#3        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.58%     0.01%  GC Thread#2      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#19     [kernel.kallsyms]                    [k] __run_hrtimer
     0.58%     0.01%  GC Thread#20     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.58%     0.00%  GC Thread#6      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.58%     0.01%  G1 Conc#5        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] tick_sched_timer
     0.58%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.58%     0.00%  GC Thread#6      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.58%     0.00%  G1 Refine#5      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.57%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.01%  G1 Conc#2        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.01%  G1 Conc#0        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.01%  GC Thread#0      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.57%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] tick_sched_timer
     0.57%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.57%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] tick_sched_handle
     0.57%     0.03%  swapper          [kernel.kallsyms]                    [k] asm_sysvec_call_function_single
     0.57%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.57%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] __run_hrtimer
     0.57%     0.03%  G1 Refine#2      [kernel.kallsyms]                    [k] update_process_times
     0.56%     0.01%  G1 Conc#1        [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.56%     0.01%  GC Thread#18     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.56%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] __run_hrtimer
     0.56%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] __run_hrtimer
     0.56%     0.01%  GC Thread#7      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.56%     0.00%  GC Thread#3      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.56%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] __run_hrtimer
     0.56%     0.00%  GC Thread#19     [kernel.kallsyms]                    [k] tick_sched_timer
     0.56%     0.01%  GC Thread#8      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.56%     0.00%  GC Thread#3      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.55%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] scheduler_tick
     0.55%     0.01%  G1 Refine#4      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.55%     0.01%  G1 Refine#3      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.55%     0.02%  GC Thread#21     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.55%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  GC Thread#9      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.55%     0.02%  Executor task l  [kernel.kallsyms]                    [k] open_last_lookups
     0.55%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] __run_hrtimer
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] arch_do_signal_or_restart
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] do_exit
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] do_group_exit
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] do_syscall_64
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] get_signal
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.55%     0.09%  rpc-server-4-3   [kernel.kallsyms]                    [k] zap_pte_range
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] exit_mm
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] exit_mmap
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] mmput
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] unmap_page_range
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] unmap_vmas
     0.55%     0.00%  rpc-server-4-3   [kernel.kallsyms]                    [k] zap_pmd_range.isra.0
     0.55%     0.00%  GC Thread#18     [kernel.kallsyms]                    [k] __run_hrtimer
     0.55%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] tick_sched_handle
     0.55%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] __run_hrtimer
     0.55%     0.03%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     0.55%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] tick_sched_timer
     0.55%     0.00%  GC Thread#9      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.55%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.01%  G1 Refine#4      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.54%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] tick_sched_handle
     0.54%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.54%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] __run_hrtimer
     0.54%     0.02%  GC Thread#11     [kernel.kallsyms]                    [k] update_process_times
