# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 497107380826
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................
#
     0.40%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.40%     0.18%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.39%     0.13%  swapper          [kernel.kallsyms]    [k] need_update
     0.39%     0.39%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.38%     0.38%  mariadbd         [kernel.kallsyms]    [k] __switch_to
     0.38%     0.03%  swapper          [kernel.kallsyms]    [k] rebalance_domains
     0.37%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_enter
     0.37%     0.36%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.36%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.36%     0.03%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.36%     0.08%  swapper          [kernel.kallsyms]    [k] __hrtimer_start_range_ns
     0.36%     0.01%  mariadbd         [kernel.kallsyms]    [k] free_swap_cache
     0.35%     0.04%  swapper          [kernel.kallsyms]    [k] load_balance
     0.35%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     0.35%     0.35%  mariadbd         [kernel.kallsyms]    [k] __switch_to_asm
     0.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.34%     0.01%  mariadbd         [kernel.kallsyms]    [k] __alloc_pages
     0.34%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_free_swap.part.0
     0.34%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.34%     0.04%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_wakeup
     0.34%     0.03%  swapper          [kernel.kallsyms]    [k] hrtimer_next_event_without
     0.34%     0.01%  mariadbd         [kernel.kallsyms]    [k] delete_from_swap_cache
     0.33%     0.08%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_single_phys
     0.33%     0.22%  mariadbd         [kernel.kallsyms]    [k] update_rq_clock_task
     0.33%     0.02%  mariadbd         [kernel.kallsyms]    [k] touch_atime
     0.33%     0.33%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.33%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     0.33%     0.05%  mariadbd         [kernel.kallsyms]    [k] check_preempt_curr
     0.32%     0.32%  swapper          [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.32%     0.00%  mariadbd         [kernel.kallsyms]    [k] grab_cache_page_write_begin
     0.32%     0.03%  mariadbd         [kernel.kallsyms]    [k] gup_pud_range.constprop.0
     0.32%     0.21%  swapper          [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.32%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task_fair
     0.32%     0.32%  swapper          [kernel.kallsyms]    [k] native_sched_clock
     0.32%     0.02%  mariadbd         [kernel.kallsyms]    [k] get_page_from_freelist
     0.32%     0.06%  swapper          [kernel.kallsyms]    [k] clockevents_program_event
     0.32%     0.01%  swapper          [kernel.kallsyms]    [k] try_to_wake_up
     0.32%     0.08%  mariadbd         [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.31%     0.31%  mariadbd         mariadbd             [.] crc32c_3way
