# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.54%     0.01%  java             [kernel.kallsyms]   [k] shrink_page_list
     0.54%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.53%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages_vma
     0.53%     0.52%  pool-4-thread-1  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.52%     0.10%  java             [kernel.kallsyms]   [k] __schedule
     0.52%     0.13%  java             [kernel.kallsyms]   [k] try_to_migrate_one
     0.52%     0.13%  java             [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.51%     0.41%  java             [kernel.kallsyms]   [k] __count_memcg_events
     0.51%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_block_write_begin
     0.50%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_end
     0.50%     0.01%  java             [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.49%     0.01%  java             [kernel.kallsyms]   [k] hrtimer_interrupt
     0.49%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_write_end
     0.49%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] lru_cache_add_inactive_or_unevictable
     0.48%     0.00%  java             [kernel.kallsyms]   [k] alloc_misplaced_dst_page
     0.48%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.47%     0.05%  java             [kernel.kallsyms]   [k] isolate_lru_page
     0.47%     0.08%  java             [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.46%     0.22%  java             [kernel.kallsyms]   [k] numa_migrate_prep
     0.45%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] exc_page_fault
     0.45%     0.03%  kworker/u96:0-e  [kernel.kallsyms]   [k] end_page_writeback
     0.44%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit
     0.44%     0.34%  InMemoryMerger   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.44%     0.36%  LocalJobRunner   [kernel.kallsyms]   [k] try_charge_memcg
     0.44%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     0.44%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     0.44%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     0.44%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     0.43%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     0.43%     0.40%  java             [kernel.kallsyms]   [k] page_vma_mapped_walk
     0.43%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.42%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] do_user_addr_fault
     0.42%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
