# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994K of event 'cycles'
# Event count (approx.): 2289366954190
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                    [k] __list_del_entry_valid
     0.64%     0.01%  GC Thread#11     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.64%     0.01%  GC Thread#3      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.63%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.63%     0.00%  GC Thread#20     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.63%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] __run_hrtimer
     0.63%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge
     0.63%     0.00%  GC Thread#20     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.63%     0.02%  GC Thread#3      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.63%     0.01%  GC Thread#21     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.62%     0.01%  GC Thread#1      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.62%     0.01%  GC Thread#12     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.62%     0.00%  swapper          [kernel.kallsyms]                    [k] sysvec_call_function_single
     0.62%     0.02%  GC Thread#11     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.62%     0.02%  GC Thread#21     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.61%     0.02%  GC Thread#1      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.61%     0.02%  GC Thread#12     [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.61%     0.01%  GC Thread#18     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.61%     0.01%  GC Thread#13     [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.61%     0.02%  GC Thread#4      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.61%     0.00%  swapper          [kernel.kallsyms]                    [k] __irq_exit_rcu
     0.61%     0.61%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.61%     0.18%  Executor task l  [kernel.kallsyms]                    [k] rmqueue_bulk
