# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.46%     0.00%  kswapd0          [kernel.kallsyms]         [k] super_cache_scan
     0.46%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait_queue_me
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     0.46%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] try_charge_memcg
     0.46%     0.08%  java             [kernel.kallsyms]         [k] pick_next_task_fair
     0.46%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     0.45%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] try_to_wake_up
     0.45%     0.00%  kswapd0          [kernel.kallsyms]         [k] prune_icache_sb
     0.45%     0.00%  kswapd0          [kernel.kallsyms]         [k] __list_lru_walk_one
     0.45%     0.00%  kswapd0          [kernel.kallsyms]         [k] list_lru_walk_one
     0.45%     0.00%  kswapd0          [kernel.kallsyms]         [k] inode_lru_isolate
     0.45%     0.00%  kswapd0          [kernel.kallsyms]         [k] invalidate_mapping_pages
     0.44%     0.00%  kswapd0          [kernel.kallsyms]         [k] __invalidate_mapping_pages
     0.44%     0.00%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     0.44%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_journal_start_sb
     0.43%     0.07%  java             [kernel.kallsyms]         [k] lru_cache_add
     0.43%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.43%     0.29%  localfetcher#1   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.43%     0.05%  localfetcher#1   [kernel.kallsyms]         [k] __mem_cgroup_charge
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] kthread
