# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.20%     0.02%  postgres         [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.20%     0.09%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.19%     0.01%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     0.18%     0.01%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     0.18%     0.00%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_state
     0.18%     0.17%  postgres         [kernel.kallsyms]  [k] page_mapping
     0.17%     0.06%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.17%     0.00%  postgres         [kernel.kallsyms]  [k] read_pages
     0.16%     0.06%  postgres         [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.16%     0.00%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.16%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
     0.16%     0.02%  postgres         [kernel.kallsyms]  [k] __activate_page
     0.16%     0.16%  postgres         [unknown]          [.] 0000000000000000
     0.15%     0.03%  postgres         [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.15%     0.06%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_readahead
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] do_sys_openat2
     0.14%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
