# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
     0.55%     0.17%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.55%     0.23%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     0.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.54%     0.00%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.54%     0.15%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.54%     0.52%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.54%     0.13%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.53%     0.52%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.53%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_es_insert_extent
     0.52%     0.01%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     0.51%     0.47%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.51%     0.51%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.50%     0.03%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.50%     0.50%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.50%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.49%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.49%     0.02%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.47%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] skb_release_data
     0.47%     0.02%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
