# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
     0.57%     0.03%  mariadbd         [kernel.kallsyms]     [k] lockless_pages_from_mm
     0.57%     0.56%  mariadbd         [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.56%     0.01%  swapper          [kernel.kallsyms]     [k] blk_mq_end_request
     0.56%     0.54%  swapper          [kernel.kallsyms]     [k] switch_mm_irqs_off
     0.56%     0.04%  swapper          [kernel.kallsyms]     [k] tick_nohz_restart_sched_tick
     0.55%     0.01%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_io_getevents
     0.54%     0.53%  mariadbd         [kernel.kallsyms]     [k] copy_user_generic_string
     0.54%     0.11%  tclsh8.6         [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.54%     0.01%  mariadbd         [kernel.kallsyms]     [k] ext4_da_write_begin
     0.54%     0.53%  mariadbd         [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.54%     0.01%  mariadbd         [kernel.kallsyms]     [k] do_io_getevents
     0.53%     0.49%  swapper          [kernel.kallsyms]     [k] _raw_spin_lock
     0.53%     0.14%  swapper          [kernel.kallsyms]     [k] set_next_entity
     0.52%     0.23%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.51%     0.14%  mariadbd         [kernel.kallsyms]     [k] gup_pgd_range
     0.50%     0.01%  swapper          [kernel.kallsyms]     [k] amd_pmu_disable_all
     0.50%     0.03%  swapper          [kernel.kallsyms]     [k] blk_update_request
     0.50%     0.15%  mariadbd         [kernel.kallsyms]     [k] set_task_cpu
     0.50%     0.50%  mariadbd         libpthread-2.28.so    [.] __lll_lock_wait
     0.50%     0.50%  mariadbd         [kernel.kallsyms]     [k] cpuacct_charge
     0.49%     0.01%  mariadbd         [kernel.kallsyms]     [k] read_events
     0.49%     0.42%  mariadbd         [kernel.kallsyms]     [k] ext4_es_lookup_extent
     0.48%     0.47%  mariadbd         [kernel.kallsyms]     [k] __update_load_avg_se
     0.47%     0.47%  swapper          [kernel.kallsyms]     [k] __switch_to_asm
     0.47%     0.33%  mariadbd         [kernel.kallsyms]     [k] ktime_get
     0.46%     0.10%  mariadbd         [kernel.kallsyms]     [k] skb_release_data
     0.46%     0.08%  tclsh8.6         [kernel.kallsyms]     [k] skb_release_data
     0.46%     0.02%  mariadbd         [kernel.kallsyms]     [k] obj_cgroup_charge
     0.46%     0.11%  mariadbd         [kernel.kallsyms]     [k] wake_affine_weight
     0.45%     0.27%  mariadbd         [kernel.kallsyms]     [k] kfree
     0.45%     0.03%  mariadbd         [kernel.kallsyms]     [k] update_blocked_averages
     0.44%     0.44%  mariadbd         libpthread-2.28.so    [.] __pthread_mutex_lock
     0.43%     0.05%  swapper          [kernel.kallsyms]     [k] tick_nohz_stop_tick
     0.43%     0.03%  mariadbd         [kernel.kallsyms]     [k] __softirqentry_text_start
     0.43%     0.03%  swapper          [kernel.kallsyms]     [k] update_blocked_averages
     0.42%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.42%     0.03%  swapper          [kernel.kallsyms]     [k] sched_clock_cpu
     0.42%     0.01%  swapper          [kernel.kallsyms]     [k] _nohz_idle_balance.constprop.0.isra.0
     0.42%     0.42%  mariadbd         [kernel.kallsyms]     [k] __switch_to_asm
     0.42%     0.42%  mariadbd         [kernel.kallsyms]     [k] __switch_to
     0.41%     0.06%  swapper          [kernel.kallsyms]     [k] tick_nohz_idle_enter
     0.41%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_dio_write_checks
     0.40%     0.40%  swapper          [kernel.kallsyms]     [k] read_tsc
     0.39%     0.05%  swapper          [kernel.kallsyms]     [k] rebalance_domains
     0.38%     0.03%  mariadbd         [kernel.kallsyms]     [k] ttwu_do_wakeup
     0.38%     0.38%  swapper          [kernel.kallsyms]     [k] native_sched_clock
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_read_actor
     0.37%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] skb_copy_datagram_iter
     0.37%     0.05%  tclsh8.6         [kernel.kallsyms]     [k] dequeue_task_fair
     0.37%     0.06%  swapper          [kernel.kallsyms]     [k] clockevents_program_event
     0.37%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __skb_datagram_iter
     0.36%     0.20%  mariadbd         [kernel.kallsyms]     [k] mark_wake_futex
     0.36%     0.03%  mariadbd         [kernel.kallsyms]     [k] gup_pud_range.constprop.0
     0.36%     0.01%  mariadbd         [kernel.kallsyms]     [k] pagecache_get_page
     0.36%     0.05%  swapper          [kernel.kallsyms]     [k] __hrtimer_start_range_ns
     0.35%     0.06%  mariadbd         [kernel.kallsyms]     [k] check_preempt_curr
     0.35%     0.35%  mariadbd         [kernel.kallsyms]     [k] update_cfs_rq_h_load
     0.35%     0.02%  mariadbd         [kernel.kallsyms]     [k] unix_stream_read_actor
     0.35%     0.01%  mariadbd         [kernel.kallsyms]     [k] __mark_inode_dirty
     0.34%     0.21%  mariadbd         [kernel.kallsyms]     [k] migrate_task_rq_fair
     0.34%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] obj_cgroup_charge
     0.34%     0.34%  mariadbd         [kernel.kallsyms]     [k] amd_pmu_addr_offset
     0.33%     0.00%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_fdatasync
     0.33%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_sync_file
     0.33%     0.01%  mariadbd         [kernel.kallsyms]     [k] skb_copy_datagram_iter
     0.33%     0.10%  mariadbd         [kernel.kallsyms]     [k] refill_obj_stock
     0.33%     0.08%  mariadbd         [kernel.kallsyms]     [k] default_send_IPI_single_phys
     0.33%     0.05%  swapper          [kernel.kallsyms]     [k] load_balance
     0.32%     0.02%  mariadbd         [kernel.kallsyms]     [k] __skb_datagram_iter
     0.32%     0.11%  mariadbd         [kernel.kallsyms]     [k] gup_pmd_range.constprop.0
     0.32%     0.01%  mariadbd         [kernel.kallsyms]     [k] grab_cache_page_write_begin
     0.32%     0.32%  swapper          [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.32%     0.04%  tclsh8.6         [kernel.kallsyms]     [k] dequeue_entity
     0.32%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] skb_release_head_state
     0.32%     0.13%  tclsh8.6         [kernel.kallsyms]     [k] kfree
     0.31%     0.22%  mariadbd         [kernel.kallsyms]     [k] update_rq_clock_task
     0.31%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] unix_destruct_scm
     0.31%     0.08%  tclsh8.6         [kernel.kallsyms]     [k] select_task_rq_fair
     0.31%     0.20%  swapper          [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.30%     0.09%  mariadbd         [kernel.kallsyms]     [k] amd_pmu_wait_on_overflow
     0.30%     0.06%  mariadbd         [kernel.kallsyms]     [k] select_idle_core
     0.30%     0.03%  swapper          [kernel.kallsyms]     [k] hrtimer_next_event_without
     0.30%     0.30%  mariadbd         [kernel.kallsyms]     [k] save_fpregs_to_fpstate
     0.30%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_dirty_inode
     0.30%     0.22%  mariadbd         [kernel.kallsyms]     [k] kmem_cache_free
     0.30%     0.01%  mariadbd         [kernel.kallsyms]     [k] kmalloc_reserve
     0.30%     0.30%  mariadbd         [kernel.kallsyms]     [k] llist_add_batch
     0.30%     0.00%  mariadbd         [kernel.kallsyms]     [k] __smp_call_single_queue
     0.29%     0.09%  tclsh8.6         [kernel.kallsyms]     [k] sock_wfree
     0.29%     0.19%  mariadbd         [kernel.kallsyms]     [k] __update_blocked_fair
     0.29%     0.08%  tclsh8.6         [kernel.kallsyms]     [k] refill_obj_stock
     0.28%     0.21%  mariadbd         [kernel.kallsyms]     [k] plist_add
     0.28%     0.20%  mariadbd         [kernel.kallsyms]     [k] __kmalloc_node_track_caller
     0.28%     0.28%  swapper          [kernel.kallsyms]     [k] llist_reverse_order
     0.28%     0.01%  mariadbd         [kernel.kallsyms]     [k] run_rebalance_domains
     0.28%     0.09%  swapper          [kernel.kallsyms]     [k] get_next_timer_interrupt
     0.28%     0.11%  tclsh8.6         [kernel.kallsyms]     [k] sock_poll
     0.28%     0.21%  swapper          [kernel.kallsyms]     [k] __hrtimer_next_event_base
     0.28%     0.01%  mariadbd         [kernel.kallsyms]     [k] sched_clock_cpu
     0.28%     0.02%  mariadbd         [kernel.kallsyms]     [k] detach_tasks
     0.28%     0.11%  mariadbd         [kernel.kallsyms]     [k] put_prev_entity
     0.28%     0.02%  mariadbd         [kernel.kallsyms]     [k] nvme_pci_setup_prps
     0.28%     0.07%  swapper          [kernel.kallsyms]     [k] ttwu_do_wakeup
     0.27%     0.01%  mariadbd         [kernel.kallsyms]     [k] copy_page_from_iter_atomic
     0.27%     0.27%  mariadbd         [kernel.kallsyms]     [k] __entry_text_start
     0.27%     0.00%  mariadbd         [kernel.kallsyms]     [k] file_write_and_wait_range
     0.27%     0.13%  swapper          [kernel.kallsyms]     [k] __update_blocked_fair
