# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.75%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     0.73%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     0.69%     0.01%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     0.69%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] compact_zone
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kcompactd
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kthread
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] migrate_pages
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] proactive_compact_node
     0.65%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] ret_from_fork
     0.61%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     0.60%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     0.58%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     0.56%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] compaction_alloc
     0.56%     0.55%  kcompactd1       [kernel.kallsyms]                   [k] isolate_freepages_block
     0.53%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     0.50%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     0.48%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.47%     0.01%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.47%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.46%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     0.45%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     0.45%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.44%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
     0.42%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.37%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] wake_up_q
     0.37%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.37%     0.00%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.37%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.37%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] asm_exc_page_fault
     0.37%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] do_user_addr_fault
     0.37%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] exc_page_fault
     0.37%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] handle_mm_fault
     0.36%     0.19%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.36%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.36%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] __do_fault
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] filemap_fault
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] do_page_cache_ra
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     0.36%     0.36%  ReadStage-53     [kernel.kallsyms]                   [k] _raw_read_lock
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] ext4_map_blocks
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] ext4_mpage_readpages
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] ext4_readahead
     0.36%     0.00%  ReadStage-53     [kernel.kallsyms]                   [k] read_pages
     0.35%     0.01%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.35%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.35%     0.05%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.34%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.34%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.33%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
