# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1671706037415
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                      
# ........  ........  ...............  ................................................  ............................................................................................................................................................
#
     0.69%     0.00%  G1 Refine#1      [kernel.kallsyms]                                 [k] tick_sched_handle
     0.69%     0.02%  G1 Conc#2        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.69%     0.00%  GC Thread#6      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#10     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.69%     0.01%  G1 Conc#0        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.69%     0.03%  G1 Refine#1      [kernel.kallsyms]                                 [k] update_process_times
     0.68%     0.00%  GC Thread#0      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.68%     0.01%  G1 Conc#3        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.68%     0.01%  G1 Conc#1        [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.67%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.66%     0.00%  GC Thread#7      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.66%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.65%     0.00%  GC Thread#21     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.65%     0.01%  GC Thread#18     [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.65%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.65%     0.00%  GC Thread#2      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.01%  GC Thread#6      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#11     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#1      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.64%     0.02%  GC Thread#18     [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.64%     0.01%  GC Thread#10     [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#20     [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#2      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.64%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.64%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] get_page_from_freelist
     0.64%     0.00%  GC Thread#11     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.63%     0.01%  G1 Refine#2      [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     0.63%     0.00%  GC Thread#20     [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.63%     0.02%  GC Thread#6      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.63%     0.01%  GC Thread#0      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.63%     0.00%  GC Thread#8      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.63%     0.02%  GC Thread#10     [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.63%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] alloc_empty_file
     0.63%     0.58%  kcompactd0       [kernel.kallsyms]                                 [k] isolate_freepages_block
     0.63%     0.00%  GC Thread#9      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.63%     0.02%  GC Thread#0      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.62%     0.00%  GC Thread#9      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.62%     0.00%  G1 Refine#2      [kernel.kallsyms]                                 [k] __run_hrtimer
