# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 130K of event 'cycles'
# Event count (approx.): 2636509785394
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.19%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.19%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.19%     0.19%  kswapd0          [kernel.kallsyms]                   [k] xas_create
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.18%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.18%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.18%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.18%     0.18%  swapper          [kernel.kallsyms]                   [k] __switch_to_asm
     0.18%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wake
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.18%     0.00%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.18%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.17%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm_output
     0.17%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __pagevec_release
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver_finish
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_deliver
     0.17%     0.02%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_protocol_deliver_rcu
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_push
     0.17%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_push_pending_frames
     0.16%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_write_xmit
     0.16%     0.03%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.16%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_v4_rcv
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.16%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] update_curr
     0.16%     0.01%  kswapd0          [kernel.kallsyms]                   [k] free_unref_page_list
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.16%     0.16%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.16%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_do_copy_data_nocache
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.16%     0.14%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.16%     0.04%  swapper          [kernel.kallsyms]                   [k] tick_nohz_next_event
