# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.29%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.28%     0.04%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.28%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.28%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.28%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.27%     0.03%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_flush_dirty
     0.27%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.27%     0.27%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.27%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap
     0.26%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.26%     0.19%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.26%     0.02%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.25%     0.17%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.25%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.25%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.25%     0.19%  kswapd1          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.25%     0.12%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.25%     0.03%  kswapd1          [kernel.kallsyms]                   [k] __remove_mapping
     0.25%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.24%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.24%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.24%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.23%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.23%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.23%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.23%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.23%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.23%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush_dirty
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
