# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6777317610921
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.47%     0.03%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     0.47%     0.23%  java             [kernel.kallsyms]         [k] update_load_avg
     0.47%     0.31%  java             [kernel.kallsyms]         [k] mpol_misplaced
     0.46%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] kthread
     0.46%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ret_from_fork
     0.46%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] worker_thread
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] kthread
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] worker_thread
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] process_one_work
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_workfn
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] wb_writeback
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] do_writepages
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] __writeback_single_inode
     0.45%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.45%     0.19%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.45%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages
     0.45%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] process_one_work
     0.45%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.45%     0.04%  kworker/u98:1-e  [kernel.kallsyms]         [k] ext4_writepages
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.45%     0.35%  LocalJobRunner   [kernel.kallsyms]         [k] try_charge_memcg
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_wb_stats
     0.44%     0.05%  java             [kernel.kallsyms]         [k] task_tick_fair
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.44%     0.12%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.44%     0.19%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.43%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait
     0.43%     0.18%  java             [kernel.kallsyms]         [k] __pagevec_lru_add
     0.43%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] create_empty_buffers
     0.43%     0.37%  LocalJobRunner   [kernel.kallsyms]         [k] get_mem_cgroup_from_mm
     0.42%     0.38%  LocalJobRunner   [kernel.kallsyms]         [k] rmqueue_bulk
     0.42%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wake
     0.41%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.41%     0.40%  LocalJobRunner   [kernel.kallsyms]         [k] __ptep_modify_prot_start
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     0.41%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     0.40%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] __block_commit_write.constprop.0.isra.0
     0.40%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.39%     0.06%  java             [kernel.kallsyms]         [k] ptep_clear_flush
     0.39%     0.00%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     0.39%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] kthread
     0.39%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] ret_from_fork
