# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11935416462012
#
# Children      Self  Command          Shared Object      Symbol                                                        
# ........  ........  ...............  .................  ..............................................................
#
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.61%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.61%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.61%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.61%     0.10%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __page_cache_alloc
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages
     0.58%     0.01%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     0.58%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] kthread
     0.58%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] ret_from_fork
     0.58%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] worker_thread
     0.58%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] process_one_work
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] wb_workfn
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] wb_writeback
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] do_writepages
     0.57%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] __writeback_single_inode
     0.57%     0.03%  kworker/u97:12-  [kernel.kallsyms]  [k] ext4_writepages
     0.57%     0.55%  LocalJobRunner   [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.57%     0.06%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     0.57%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __mark_inode_dirty
     0.55%     0.02%  java             [kernel.kallsyms]  [k] do_sched_yield
     0.55%     0.00%  java             [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     0.54%     0.00%  InMemoryMerger   [kernel.kallsyms]  [k] ext4_dirty_inode
     0.54%     0.53%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.53%     0.44%  LocalJobRunner   [kernel.kallsyms]  [k] try_charge_memcg
     0.51%     0.08%  java             [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.51%     0.14%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     0.50%     0.01%  java             [kernel.kallsyms]  [k] schedule
     0.50%     0.11%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.50%     0.21%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     0.49%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] alloc_pages_vma
     0.49%     0.14%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.49%     0.09%  java             [kernel.kallsyms]  [k] __schedule
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.48%     0.48%  swapper          [unknown]          [.] 0000000000000000
     0.48%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
     0.47%     0.03%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.46%     0.01%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.46%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     0.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.45%     0.01%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     0.45%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     0.44%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.44%     0.00%  java             [kernel.kallsyms]  [k] __put_page
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.44%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.43%     0.07%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.42%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.42%     0.42%  InMemoryMerger   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.42%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.41%     0.03%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] kthread
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ret_from_fork
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] worker_thread
     0.41%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.41%     0.19%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] process_one_work
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.41%     0.01%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.41%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.40%     0.40%  localfetcher#1   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.40%     0.00%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.40%     0.00%  java             [kernel.kallsyms]  [k] do_try_to_free_pages
     0.40%     0.00%  java             [kernel.kallsyms]  [k] try_to_free_pages
     0.40%     0.00%  java             [kernel.kallsyms]  [k] shrink_node
     0.40%     0.07%  kworker/u96:1-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.40%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.40%     0.05%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] move_to_new_page
     0.39%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit
     0.39%     0.00%  java             [kernel.kallsyms]  [k] shrink_lruvec
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_page
     0.39%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     0.38%     0.01%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.38%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.38%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.37%     0.36%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.37%     0.06%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.37%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.37%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] handle_mm_fault
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] kthread
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] ret_from_fork
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] worker_thread
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] process_one_work
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] wb_workfn
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] wb_writeback
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] __writeback_single_inode
     0.36%     0.00%  kworker/u98:2-w  [kernel.kallsyms]  [k] do_writepages
     0.36%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.36%     0.30%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.36%     0.02%  kworker/u98:2-w  [kernel.kallsyms]  [k] ext4_writepages
     0.36%     0.04%  localfetcher#1   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.35%     0.29%  LocalJobRunner   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.35%     0.02%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.35%     0.03%  Sampler Reader   [kernel.kallsyms]  [k] __handle_mm_fault
