# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
     0.32%     0.02%  tclsh8.6         [kernel.kallsyms]                      [k] unix_destruct_scm
     0.31%     0.31%  mariadbd         [kernel.kallsyms]                      [k] amd_pmu_addr_offset
     0.31%     0.31%  mariadbd         [kernel.kallsyms]                      [k] save_fpregs_to_fpstate
     0.31%     0.22%  swapper          [kernel.kallsyms]                      [k] __hrtimer_next_event_base
     0.30%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __smp_call_single_queue
     0.30%     0.17%  mariadbd         [kernel.kallsyms]                      [k] migrate_task_rq_fair
     0.30%     0.30%  mariadbd         [kernel.kallsyms]                      [k] llist_add_batch
     0.30%     0.01%  mariadbd         [kernel.kallsyms]                      [k] run_rebalance_domains
     0.30%     0.12%  tclsh8.6         [kernel.kallsyms]                      [k] kfree
     0.30%     0.03%  mariadbd         [kernel.kallsyms]                      [k] pick_next_task_idle
     0.29%     0.09%  tclsh8.6         [kernel.kallsyms]                      [k] sock_wfree
     0.29%     0.29%  mariadbd         [kernel.kallsyms]                      [k] __entry_text_start
     0.29%     0.00%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_fdatasync
     0.29%     0.00%  mariadbd         [kernel.kallsyms]                      [k] ext4_sync_file
     0.29%     0.01%  mariadbd         [kernel.kallsyms]                      [k] kmalloc_reserve
     0.29%     0.29%  swapper          [kernel.kallsyms]                      [k] __switch_to
     0.29%     0.07%  swapper          [kernel.kallsyms]                      [k] ttwu_do_wakeup
     0.29%     0.02%  mariadbd         [kernel.kallsyms]                      [k] nvme_pci_setup_prps
     0.28%     0.09%  tclsh8.6         [kernel.kallsyms]                      [k] refill_obj_stock
     0.28%     0.28%  mariadbd         [kernel.kallsyms]                      [k] _find_next_bit
     0.28%     0.19%  mariadbd         [kernel.kallsyms]                      [k] __kmalloc_node_track_caller
     0.28%     0.09%  swapper          [kernel.kallsyms]                      [k] get_next_timer_interrupt
