# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7669860942578
#
# Children      Self  Command          Shared Object         Symbol                                                        
# ........  ........  ...............  ....................  ..............................................................
#
     0.34%     0.15%  java             [kernel.kallsyms]     [k] update_load_avg
     0.34%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wait
     0.34%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] kthread
     0.34%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] ret_from_fork
     0.34%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] worker_thread
     0.34%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] process_one_work
     0.34%     0.16%  java             [kernel.kallsyms]     [k] update_curr
     0.34%     0.00%  java             [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.34%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __mod_lruvec_state
     0.34%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] kmem_cache_alloc
     0.33%     0.06%  java             [kernel.kallsyms]     [k] yield_task_fair
     0.33%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] __schedule
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] wb_workfn
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] wb_writeback
     0.33%     0.33%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] do_writepages
     0.33%     0.00%  kworker/u97:12-  [kernel.kallsyms]     [k] __writeback_single_inode
     0.33%     0.01%  java             [kernel.kallsyms]     [k] lock_page_lruvec_irqsave
     0.33%     0.03%  kworker/u97:12-  [kernel.kallsyms]     [k] ext4_writepages
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.32%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.32%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_page_buffers
     0.31%     0.21%  java             [kernel.kallsyms]     [k] mpol_misplaced
     0.31%     0.30%  LocalJobRunner   [kernel.kallsyms]     [k] down_read_trylock
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.31%     0.00%  kswapd0          [kernel.kallsyms]     [k] rmap_walk
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
