# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.60%     0.00%  swapper          [kernel.kallsyms]         [k] __run_hrtimer
     0.59%     0.58%  mariadbd         [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.58%     0.00%  swapper          [kernel.kallsyms]         [k] tick_sched_timer
     0.58%     0.48%  mariadbd         [kernel.kallsyms]         [k] xas_load
     0.57%     0.45%  mariadbd         [kernel.kallsyms]         [k] ktime_get
     0.57%     0.13%  mariadbd         [kernel.kallsyms]         [k] mapping_get_entry
     0.57%     0.55%  mariadbd         [kernel.kallsyms]         [k] __update_load_avg_se
     0.57%     0.52%  mariadbd         [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.56%     0.32%  swapper          [kernel.kallsyms]         [k] ktime_get
     0.55%     0.10%  mariadbd         [kernel.kallsyms]         [k] __find_get_block_slow
     0.54%     0.54%  mariadbd         [kernel.kallsyms]         [k] __default_send_IPI_dest_field
     0.53%     0.04%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_exit
     0.52%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] consume_skb
     0.51%     0.51%  mariadbd         [kernel.kallsyms]         [k] cpuacct_charge
     0.51%     0.09%  mariadbd         [kernel.kallsyms]         [k] kmem_cache_alloc_node
     0.50%     0.07%  tclsh8.6         [kernel.kallsyms]         [k] kmem_cache_alloc_node
     0.50%     0.00%  swapper          [kernel.kallsyms]         [k] tick_sched_handle
     0.49%     0.05%  mariadbd         [kernel.kallsyms]         [k] nvme_map_data
     0.49%     0.02%  swapper          [kernel.kallsyms]         [k] update_process_times
     0.49%     0.02%  mariadbd         [kernel.kallsyms]         [k] find_busiest_group
     0.49%     0.05%  mariadbd         [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.48%     0.48%  mariadbd         [kernel.kallsyms]         [k] copy_user_generic_string
     0.48%     0.01%  mariadbd         [kernel.kallsyms]         [k] do_anonymous_page
     0.47%     0.01%  mariadbd         [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.47%     0.01%  swapper          [kernel.kallsyms]         [k] blk_mq_end_request
     0.47%     0.22%  mariadbd         [kernel.kallsyms]         [k] mark_wake_futex
     0.47%     0.47%  mariadbd         [kernel.kallsyms]         [k] __switch_to_asm
     0.47%     0.03%  mariadbd         [kernel.kallsyms]         [k] __softirqentry_text_start
     0.46%     0.04%  mariadbd         [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.46%     0.01%  mariadbd         [kernel.kallsyms]         [k] ext4_da_write_begin
     0.45%     0.02%  swapper          [kernel.kallsyms]         [k] hrtimer_start_range_ns
     0.45%     0.08%  mariadbd         [kernel.kallsyms]         [k] check_preempt_curr
