# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.54%     0.03%  kswapd1          [kernel.kallsyms]         [k] page_referenced
     0.54%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_try_to_free_pages
     0.54%     0.18%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.54%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] shrink_node
     0.53%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_da_write_end
     0.52%     0.02%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.52%     0.02%  InMemoryMerger   [kernel.kallsyms]         [k] generic_write_end
     0.52%     0.01%  java             [kernel.kallsyms]         [k] do_swap_page
     0.51%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages
     0.51%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_wb_stats
     0.51%     0.51%  localfetcher#1   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.50%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.50%     0.01%  java             [kernel.kallsyms]         [k] irqentry_exit
     0.49%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] shrink_lruvec
     0.49%     0.01%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.49%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
     0.48%     0.44%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock
     0.48%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] __alloc_pages
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     0.48%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     0.48%     0.03%  kswapd1          [kernel.kallsyms]         [k] rmap_walk_anon
     0.48%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     0.47%     0.15%  pool-4-thread-1  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.46%     0.46%  pool-4-thread-1  [kernel.kallsyms]         [k] clear_page_erms
     0.46%     0.31%  InMemoryMerger   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     0.46%     0.01%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     0.45%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] alloc_pages
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] worker_thread
