# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2197247760119
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     0.08%     0.00%  kcompactd1       [kernel.kallsyms]   [k] post_alloc_hook
     0.08%     0.03%  postgres         [kernel.kallsyms]   [k] update_curr
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] blk_mq_try_issue_list_directly
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_sched_insert_requests
     0.08%     0.00%  swapper          [kernel.kallsyms]   [k] bio_endio
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] migrate_pages
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] lru_add_drain
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] do_filp_open
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] path_openat
     0.08%     0.00%  swapper          [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] __submit_bio
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] submit_bio
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] submit_bio_noacct
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __softirqentry_text_start
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.07%     0.00%  kcompactd0       [kernel.kallsyms]   [k] migrate_page
     0.07%     0.00%  kcompactd0       [kernel.kallsyms]   [k] move_to_new_page
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __blk_mq_try_issue_directly
     0.07%     0.01%  postgres         [kernel.kallsyms]   [k] nvme_queue_rq
     0.07%     0.01%  postgres         [kernel.kallsyms]   [k] enqueue_entity
     0.07%     0.07%  kcompactd1       [kernel.kallsyms]   [k] clear_page_erms
     0.07%     0.01%  postgres         [kernel.kallsyms]   [k] mod_lruvec_page_state.constprop.0
     0.07%     0.01%  kcompactd0       [kernel.kallsyms]   [k] try_to_migrate_one
     0.07%     0.00%  kcompactd0       [kernel.kallsyms]   [k] try_to_migrate
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __mod_lruvec_state
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.07%     0.01%  postgres         [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] irq_exit_rcu
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] hrtimer_interrupt
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_page_copy
     0.07%     0.00%  swapper          [kernel.kallsyms]   [k] run_rebalance_domains
     0.07%     0.07%  kcompactd1       [kernel.kallsyms]   [k] xas_load
     0.07%     0.00%  swapper          [kernel.kallsyms]   [k] sched_ttwu_pending
     0.07%     0.07%  postgres         [kernel.kallsyms]   [k] clear_page_erms
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_submit_bio
     0.07%     0.00%  swapper          [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.07%     0.07%  postgres         [kernel.kallsyms]   [k] xas_load
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] wait_on_page_bit_common
     0.07%     0.06%  postgres         [kernel.kallsyms]   [k] try_grab_compound_head
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] asm_sysvec_call_function_single
     0.06%     0.00%  swapper          [kernel.kallsyms]   [k] tick_sched_timer
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] sysvec_call_function_single
     0.06%     0.02%  postgres         [kernel.kallsyms]   [k] kmem_cache_alloc
     0.06%     0.02%  swapper          [kernel.kallsyms]   [k] enqueue_task_fair
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_end_bio
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_common_lock
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] __sysvec_call_function_single
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] generic_smp_call_function_single_interrupt
     0.06%     0.02%  postgres         [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.06%     0.01%  swapper          [kernel.kallsyms]   [k] update_process_times
     0.06%     0.02%  postgres         [kernel.kallsyms]   [k] rmqueue_bulk
     0.06%     0.03%  postgres         [kernel.kallsyms]   [k] update_blocked_averages
     0.06%     0.02%  tclsh8.6         [kernel.kallsyms]   [k] _raw_spin_lock
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] sock_def_readable
     0.06%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_select
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_sync_key
     0.06%     0.01%  postgres         [kernel.kallsyms]   [k] update_process_times
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] tick_sched_timer
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]   [k] compaction_alloc
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] io_schedule
     0.06%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_common
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_common_lock
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __wake_up_sync_key
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] load_balance
     0.06%     0.00%  postgres         [kernel.kallsyms]   [k] task_numa_work
