# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 212867787405
#
# Children      Self  Command          Shared Object        Symbol                                                                                                          
# ........  ........  ...............  ...................  ................................................................................................................
#
     0.46%     0.09%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.45%     0.29%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.45%     0.02%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.44%     0.06%  mariadbd         [kernel.kallsyms]    [k] __alloc_pages
     0.43%     0.05%  mariadbd         [kernel.kallsyms]    [k] submit_bio_noacct
     0.43%     0.01%  mariadbd         [kernel.kallsyms]    [k] delete_from_swap_cache
     0.43%     0.43%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.43%     0.01%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.42%     0.02%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.42%     0.26%  mariadbd         [kernel.kallsyms]    [k] kfree
     0.42%     0.42%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.42%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.41%     0.41%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.41%     0.41%  mariadbd         [kernel.kallsyms]    [k] __switch_to_asm
     0.41%     0.00%  kswapd0          [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.41%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_enter
     0.41%     0.41%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.41%     0.07%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.40%     0.40%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.40%     0.04%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.39%     0.39%  mariadbd         [kernel.kallsyms]    [k] __list_del_entry_valid
     0.39%     0.39%  kswapd0          [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.38%     0.08%  mariadbd         [kernel.kallsyms]    [k] skb_release_data
     0.38%     0.10%  mariadbd         [kernel.kallsyms]    [k] gup_pgd_range
     0.38%     0.38%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.38%     0.12%  mariadbd         [kernel.kallsyms]    [k] submit_bio_checks
     0.38%     0.38%  mariadbd         [kernel.kallsyms]    [k] _find_next_bit
     0.38%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_entity
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] wait_on_page_bit_common
     0.37%     0.22%  mariadbd         [kernel.kallsyms]    [k] migrate_task_rq_fair
     0.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] lookup_swap_cache
     0.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] detach_tasks
     0.37%     0.03%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
