# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.58%     0.58%  pool-4-thread-1  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.57%     0.57%  pool-4-thread-1  [kernel.kallsyms]     [k] clear_page_erms
     0.57%     0.49%  kswapd1          [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.57%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.56%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     0.56%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     0.55%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     0.55%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.55%     0.06%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.54%     0.09%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     0.53%     0.00%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.52%     0.00%  java             [kernel.kallsyms]     [k] arch_do_signal_or_restart
     0.52%     0.00%  java             [kernel.kallsyms]     [k] get_signal
     0.52%     0.00%  java             [kernel.kallsyms]     [k] do_exit
     0.52%     0.00%  java             [kernel.kallsyms]     [k] do_group_exit
     0.52%     0.01%  kswapd0          [kernel.kallsyms]     [k] rmap_walk
     0.52%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.52%     0.00%  java             [kernel.kallsyms]     [k] exit_mmap
     0.52%     0.00%  java             [kernel.kallsyms]     [k] mmput
     0.52%     0.00%  java             [kernel.kallsyms]     [k] unmap_single_vma
     0.52%     0.00%  java             [kernel.kallsyms]     [k] unmap_vmas
     0.52%     0.11%  java             [kernel.kallsyms]     [k] unmap_page_range
     0.51%     0.01%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.49%     0.07%  java             [kernel.kallsyms]     [k] update_curr
     0.49%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     0.49%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     0.49%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     0.49%     0.03%  kswapd0          [kernel.kallsyms]     [k] shrink_active_list
     0.47%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.47%     0.00%  kswapd0          [kernel.kallsyms]     [k] arch_tlbbatch_flush
     0.47%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_swap_page
     0.47%     0.01%  kswapd0          [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.46%     0.00%  kswapd0          [kernel.kallsyms]     [k] try_to_unmap_flush_dirty
     0.45%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] migrate_misplaced_page
     0.45%     0.02%  kswapd0          [kernel.kallsyms]     [k] page_referenced
     0.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.45%     0.00%  VM Thread        [kernel.kallsyms]     [k] swapin_readahead
     0.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.44%     0.25%  java             [kernel.kallsyms]     [k] flush_tlb_func
     0.44%     0.00%  kswapd0          [kernel.kallsyms]     [k] on_each_cpu_cond_mask
     0.44%     0.00%  java             [kernel.kallsyms]     [k] do_wp_page
     0.44%     0.00%  java             [kernel.kallsyms]     [k] wp_page_copy
     0.44%     0.01%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.43%     0.43%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] balance_dirty_pages
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
