# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
     0.97%     0.03%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.97%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     0.97%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     0.95%     0.73%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     0.95%     0.01%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     0.94%     0.01%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.94%     0.45%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.93%     0.17%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.92%     0.01%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.92%     0.11%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.92%     0.06%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.92%     0.01%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     0.89%     0.45%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.89%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.87%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.86%     0.74%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.84%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.84%     0.02%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.83%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     0.83%     0.41%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.82%     0.04%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.82%     0.10%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     0.82%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     0.81%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.80%     0.16%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.80%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.80%     0.01%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     0.79%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     0.79%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.79%     0.05%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.78%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.77%     0.01%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.76%     0.05%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.76%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.75%     0.43%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.74%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.74%     0.58%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.73%     0.02%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.73%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.73%     0.15%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.72%     0.07%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.72%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.72%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.72%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.71%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.71%     0.09%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.70%     0.07%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.67%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.67%     0.67%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.67%     0.04%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.65%     0.55%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.64%     0.12%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.62%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.61%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.61%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.61%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.58%     0.01%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.58%     0.37%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.57%     0.57%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.57%     0.01%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.57%     0.08%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.55%     0.05%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.55%     0.54%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.55%     0.15%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.55%     0.10%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.55%     0.22%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.55%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.55%     0.16%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.53%     0.04%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.53%     0.53%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.53%     0.22%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.52%     0.02%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.52%     0.34%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.52%     0.04%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.52%     0.52%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.51%     0.51%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.51%     0.48%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.51%     0.03%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
