# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] wb_writeback
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] worker_thread
     0.20%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] writeback_sb_inodes
     0.20%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] asm_exc_page_fault
     0.20%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] exc_page_fault
     0.19%     0.09%  postgres         [kernel.kallsyms]    [k] __add_to_page_cache_locked
     0.19%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_user_addr_fault
     0.19%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.19%     0.00%  kcompactd1       [kernel.kallsyms]    [k] rmap_walk
     0.19%     0.00%  kcompactd1       [kernel.kallsyms]    [k] rmap_walk_file
     0.18%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     0.18%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     0.18%     0.01%  postgres         [kernel.kallsyms]    [k] filename_lookup
     0.17%     0.01%  kworker/u97:0-e  [kernel.kallsyms]    [k] mpage_process_page_bufs
     0.17%     0.01%  postgres         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.16%     0.01%  postgres         [kernel.kallsyms]    [k] path_lookupat
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.16%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __handle_mm_fault
     0.16%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_map_blocks
     0.16%     0.03%  postgres         [kernel.kallsyms]    [k] rmqueue_bulk
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     0.15%     0.00%  postgres         [kernel.kallsyms]    [k] do_filp_open
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] handle_mm_fault
     0.15%     0.14%  postgres         [kernel.kallsyms]    [k] xas_load
     0.15%     0.00%  postgres         [kernel.kallsyms]    [k] __wake_up_sync_key
     0.15%     0.00%  postgres         [kernel.kallsyms]    [k] path_openat
     0.15%     0.00%  postgres         [kernel.kallsyms]    [k] task_work_run
     0.15%     0.00%  postgres         [kernel.kallsyms]    [k] sock_def_readable
     0.14%     0.01%  postgres         [kernel.kallsyms]    [k] dequeue_task
     0.14%     0.04%  postgres         [kernel.kallsyms]    [k] enqueue_task_fair
     0.14%     0.00%  postgres         [kernel.kallsyms]    [k] lookup_fast
