# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 211064953437
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
     0.81%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.80%     0.69%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.80%     0.80%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.79%     0.02%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.79%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.78%     0.21%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.78%     0.38%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.78%     0.38%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.78%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.78%     0.50%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.76%     0.09%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.76%     0.10%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.75%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] try_to_wake_up
     0.74%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.74%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.72%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.71%     0.01%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.69%     0.16%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.69%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.69%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.68%     0.18%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.68%     0.02%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.67%     0.00%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.66%     0.02%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.66%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.66%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     0.66%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.65%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.65%     0.10%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.65%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_end_io
     0.64%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.63%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.63%     0.03%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.63%     0.11%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.63%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.60%     0.39%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.58%     0.19%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.58%     0.07%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.58%     0.02%  swapper          [kernel.kallsyms]    [k] perf_event_task_tick
     0.57%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.57%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.57%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.56%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.56%     0.06%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.56%     0.06%  swapper          [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.56%     0.56%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.56%     0.05%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.56%     0.49%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.55%     0.55%  mariadbd         [kernel.kallsyms]    [k] update_cfs_group
     0.53%     0.53%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.52%     0.36%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.52%     0.09%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.52%     0.20%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.51%     0.06%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.51%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.51%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.51%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.50%     0.50%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.50%     0.50%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.50%     0.12%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.49%     0.49%  mariadbd         [kernel.kallsyms]    [k] __switch_to_asm
     0.49%     0.01%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.49%     0.06%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.49%     0.01%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.48%     0.02%  swapper          [kernel.kallsyms]    [k] amd_pmu_disable_all
     0.48%     0.45%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.47%     0.14%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.46%     0.46%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.46%     0.45%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.45%     0.00%  kswapd0          [kernel.kallsyms]    [k] rmap_walk_anon
     0.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.43%     0.02%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.43%     0.14%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.43%     0.35%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.43%     0.43%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.43%     0.00%  mariadbd         [kernel.kallsyms]    [k] delete_from_swap_cache
     0.42%     0.00%  mariadbd         [kernel.kallsyms]    [k] free_swap_cache
     0.42%     0.38%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.41%     0.41%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] __lock_page_or_retry
     0.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_free_swap.part.0
     0.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     0.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.40%     0.40%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.39%     0.39%  mariadbd         [kernel.kallsyms]    [k] __list_del_entry_valid
     0.39%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_actor
     0.39%     0.27%  mariadbd         [kernel.kallsyms]    [k] kfree
     0.39%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] skb_copy_datagram_iter
     0.38%     0.01%  mariadbd         [kernel.kallsyms]    [k] obj_cgroup_charge
     0.38%     0.05%  mariadbd         [kernel.kallsyms]    [k] __alloc_pages
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] free_swap_slot
     0.37%     0.03%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] __ext4_mark_inode_dirty
     0.37%     0.01%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.37%     0.37%  mariadbd         libpthread-2.28.so   [.] __pthread_mutex_lock
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] mem_cgroup_swapin_charge_page
     0.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] lookup_swap_cache
     0.36%     0.05%  mariadbd         [kernel.kallsyms]    [k] sched_clock_cpu
     0.36%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.36%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_enter
     0.36%     0.00%  mariadbd         [kernel.kallsyms]    [k] swapcache_free_entries
     0.35%     0.35%  swapper          [kernel.kallsyms]    [k] native_sched_clock
     0.35%     0.35%  mariadbd         [kernel.kallsyms]    [k] __switch_to
     0.35%     0.02%  swapper          [kernel.kallsyms]    [k] try_to_wake_up
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
