# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     0.28%     0.21%  memcached        [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.28%     0.11%  swapper          [kernel.kallsyms]      [k] update_load_avg
     0.28%     0.00%  swapper          [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.28%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_ioctl
     0.28%     0.00%  swapper          [kernel.kallsyms]      [k] __run_hrtimer
     0.28%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_head_state
     0.27%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] update_curr
     0.27%     0.27%  memcached        [kernel.kallsyms]      [k] __switch_to_xtra
     0.27%     0.11%  swapper          [kernel.kallsyms]      [k] finish_task_switch.isra.0
     0.27%     0.00%  swapper          [kernel.kallsyms]      [k] tick_sched_timer
     0.27%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.27%     0.00%  memcached        [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.27%     0.00%  memcached        [kernel.kallsyms]      [k] hrtimer_interrupt
     0.26%     0.05%  swapper          [kernel.kallsyms]      [k] asm_sysvec_call_function
     0.26%     0.05%  memcached        [kernel.kallsyms]      [k] sock_wfree
     0.26%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] _copy_to_iter
     0.26%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_destruct_scm
     0.26%     0.26%  memcached        [kernel.kallsyms]      [k] __slab_free
     0.26%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.26%     0.14%  memcached        [kernel.kallsyms]      [k] update_curr
     0.26%     0.01%  memcached        [kernel.kallsyms]      [k] __remove_mapping
     0.25%     0.25%  swapper          [kernel.kallsyms]      [k] read_tsc
     0.25%     0.13%  memcached        [kernel.kallsyms]      [k] mod_objcg_state
     0.25%     0.17%  swapper          [kernel.kallsyms]      [k] __hrtimer_next_event_base
     0.25%     0.00%  memcached        [kernel.kallsyms]      [k] __hrtimer_run_queues
