# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11829649677068
#
# Children      Self  Command          Shared Object      Symbol                                               
# ........  ........  ...............  .................  .....................................................
#
     0.48%     0.47%  LocalJobRunner   [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.48%     0.01%  java             [kernel.kallsyms]  [k] migrate_page_copy
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.48%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.48%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     0.48%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     0.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.47%     0.01%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.47%     0.01%  java             [kernel.kallsyms]  [k] shrink_page_list
     0.47%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] exc_page_fault
     0.47%     0.19%  localfetcher#1   [kernel.kallsyms]  [k] charge_memcg
     0.47%     0.07%  java             [kernel.kallsyms]  [k] migrate_page_states
     0.46%     0.43%  java             [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] move_to_new_page
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_page
     0.45%     0.05%  java             [kernel.kallsyms]  [k] lru_cache_add
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     0.44%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.44%     0.03%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.44%     0.01%  java             [kernel.kallsyms]  [k] __remove_mapping
     0.43%     0.43%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.43%     0.01%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.43%     0.21%  java             [kernel.kallsyms]  [k] charge_memcg
     0.42%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.42%     0.20%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.42%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_slab
     0.42%     0.00%  kswapd0          [kernel.kallsyms]  [k] do_shrink_slab
     0.42%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.42%     0.01%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.40%     0.00%  kswapd0          [kernel.kallsyms]  [k] super_cache_scan
     0.40%     0.00%  kswapd0          [kernel.kallsyms]  [k] prune_icache_sb
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] __list_lru_walk_one
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] list_lru_walk_one
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] inode_lru_isolate
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] invalidate_mapping_pages
     0.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] __invalidate_mapping_pages
     0.39%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.39%     0.10%  java             [kernel.kallsyms]  [k] __pagevec_lru_add
     0.39%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] handle_mm_fault
     0.39%     0.01%  InMemoryMerger   [kernel.kallsyms]  [k] alloc_pages
     0.38%     0.02%  InMemoryMerger   [kernel.kallsyms]  [k] __alloc_pages
     0.38%     0.02%  java             [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.38%     0.07%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.37%     0.00%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     0.37%     0.33%  LocalJobRunner   [kernel.kallsyms]  [k] rmqueue_bulk
     0.37%     0.02%  kworker/u96:1    [kernel.kallsyms]  [k] end_page_writeback
     0.36%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] __handle_mm_fault
     0.36%     0.00%  java             [kernel.kallsyms]  [k] tick_sched_timer
     0.36%     0.01%  VM Thread        [kernel.kallsyms]  [k] do_user_addr_fault
     0.35%     0.04%  java             [kernel.kallsyms]  [k] remove_migration_pte
     0.35%     0.00%  kworker/u97:12-  [kernel.kallsyms]  [k] mpage_submit_page
