# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] kthread
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] ret_from_fork
     0.62%     0.62%  Executor task l  [kernel.kallsyms]                          [k] __const_udelay
     0.62%     0.01%  GC Thread#17     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] balance_pgdat
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] shrink_node
     0.62%     0.00%  kswapd0          [kernel.kallsyms]                          [k] shrink_node_memcgs
     0.62%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] __run_hrtimer
     0.62%     0.01%  Executor task l  [kernel.kallsyms]                          [k] alloc_empty_file
     0.62%     0.01%  GC Thread#6      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.62%     0.09%  Executor task l  [kernel.kallsyms]                          [k] __schedule
     0.62%     0.02%  GC Thread#3      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.62%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] __run_hrtimer
     0.61%     0.01%  GC Thread#21     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.61%     0.03%  Executor task l  [kernel.kallsyms]                          [k] clockevents_program_event
     0.61%     0.01%  GC Thread#5      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.61%     0.01%  GC Thread#6      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.61%     0.16%  Executor task l  [kernel.kallsyms]                          [k] __alloc_file
     0.60%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.60%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] __run_hrtimer
     0.60%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] __run_hrtimer
     0.60%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.60%     0.01%  G1 Conc#5        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.60%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] tick_sched_timer
     0.60%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] __run_hrtimer
     0.60%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.60%     0.01%  G1 Conc#3        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.59%     0.01%  GC Thread#4      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.59%     0.00%  swapper          [kernel.kallsyms]                          [k] sysvec_call_function_single
     0.59%     0.01%  GC Thread#7      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.59%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
