# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] do_writepages
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] kthread
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] process_one_work
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] ret_from_fork
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] wb_workfn
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] wb_writeback
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] worker_thread
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] ext4_writepages
     0.17%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_epoll_wait
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] mpage_submit_page
     0.17%     0.02%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     0.17%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_page_function
     0.17%     0.01%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] ext4_bio_write_page
     0.17%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_state
     0.17%     0.08%  kswapd1          [kernel.kallsyms]                   [k] move_pages_to_lru
     0.17%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] __test_set_page_writeback
     0.17%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task_fair
