# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2138941614939
#
# Children      Self  Command          Shared Object       Symbol                                           
# ........  ........  ...............  ..................  .................................................
#
     0.15%     0.03%  postgres         [kernel.kallsyms]   [k] scheduler_tick
     0.15%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_da_write_end
     0.15%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] handle_mm_fault
     0.14%     0.01%  postgres         [kernel.kallsyms]   [k] blk_update_request
     0.14%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __handle_mm_fault
     0.14%     0.06%  postgres         [kernel.kallsyms]   [k] update_load_avg
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] path_openat
     0.14%     0.05%  postgres         [kernel.kallsyms]   [k] kmem_cache_alloc
     0.14%     0.00%  swapper          [kernel.kallsyms]   [k] sched_ttwu_pending
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] __softirqentry_text_start
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] generic_write_end
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] submit_bio_noacct
     0.14%     0.00%  postgres         [kernel.kallsyms]   [k] submit_bio
     0.13%     0.00%  postgres         [kernel.kallsyms]   [k] __submit_bio
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_futex
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] do_futex
     0.13%     0.00%  postgres         [kernel.kallsyms]   [k] bio_endio
     0.13%     0.03%  postgres         [kernel.kallsyms]   [k] newidle_balance
     0.13%     0.01%  postgres         [kernel.kallsyms]   [k] ext4_map_blocks
     0.13%     0.00%  kcompactd1       [kernel.kallsyms]   [k] remove_migration_pte
     0.13%     0.00%  swapper          [kernel.kallsyms]   [k] flush_smp_call_function_from_idle
     0.13%     0.00%  postgres         [kernel.kallsyms]   [k] irq_exit_rcu
     0.13%     0.00%  swapper          [kernel.kallsyms]   [k] enqueue_task
     0.12%     0.06%  postgres         [kernel.kallsyms]   [k] __mod_memcg_state.part.0
     0.12%     0.03%  postgres         [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] schedule
     0.12%     0.00%  postgres         [kernel.kallsyms]   [k] get_futex_key
     0.12%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] __schedule
     0.12%     0.11%  postgres         [kernel.kallsyms]   [k] ext4_es_lookup_extent
     0.12%     0.11%  postgres         [kernel.kallsyms]   [k] next_uptodate_page
     0.12%     0.00%  postgres         [kernel.kallsyms]   [k] get_user_pages_fast
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __sys_sendto
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_sendto
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] sock_sendmsg
     0.12%     0.05%  postgres         [kernel.kallsyms]   [k] internal_get_user_pages_fast
     0.11%     0.08%  postgres         [kernel.kallsyms]   [k] update_blocked_averages
     0.11%     0.11%  tclsh8.6         [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.11%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_submit_bio
     0.11%     0.00%  postgres         [kernel.kallsyms]   [k] task_work_run
     0.11%     0.10%  postgres         [kernel.kallsyms]   [k] xas_load
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] _raw_spin_lock
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_misplaced_page
     0.11%     0.11%  kcompactd1       [kernel.kallsyms]   [k] clear_page_erms
     0.11%     0.00%  kcompactd1       [kernel.kallsyms]   [k] post_alloc_hook
     0.11%     0.00%  kcompactd1       [kernel.kallsyms]   [k] split_map_pages
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] unix_stream_sendmsg
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] migrate_pages
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_end_bio
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] switch_fpu_return
     0.10%     0.00%  postgres         [kernel.kallsyms]   [k] run_rebalance_domains
     0.10%     0.01%  postgres         [kernel.kallsyms]   [k] mod_lruvec_page_state.constprop.0
     0.09%     0.02%  postgres         [kernel.kallsyms]   [k] futex_wait_setup
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_fdatasync
     0.09%     0.09%  postgres         [kernel.kallsyms]   [k] __restore_fpregs_from_fpstate
     0.09%     0.02%  postgres         [kernel.kallsyms]   [k] ext4_finish_bio
     0.09%     0.02%  postgres         [kernel.kallsyms]   [k] __mark_inode_dirty
     0.09%     0.04%  postgres         [kernel.kallsyms]   [k] __mod_memcg_lruvec_state
     0.09%     0.04%  swapper          [kernel.kallsyms]   [k] enqueue_task_fair
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_flush_plug_list
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] blk_flush_plug_list
     0.09%     0.08%  postgres         [kernel.kallsyms]   [k] psi_group_change
     0.09%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_sched_insert_requests
     0.08%     0.08%  kcompactd1       [kernel.kallsyms]   [k] copy_page
     0.08%     0.00%  kcompactd1       [kernel.kallsyms]   [k] buffer_migrate_page
     0.08%     0.08%  postgres         [kernel.kallsyms]   [k] __mod_node_page_state
     0.08%     0.01%  tclsh8.6         [kernel.kallsyms]   [k] do_sys_poll
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] __x64_sys_poll
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] load_balance
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_epoll_wait
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] irqentry_exit
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.08%     0.08%  postgres         [kernel.kallsyms]   [k] _find_next_bit
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] __alloc_file
     0.08%     0.00%  postgres         [kernel.kallsyms]   [k] alloc_empty_file
     0.08%     0.02%  postgres         [kernel.kallsyms]   [k] psi_task_switch
     0.08%     0.01%  postgres         [kernel.kallsyms]   [k] do_epoll_wait
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] blk_mq_try_issue_list_directly
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.07%     0.07%  postgres         [kernel.kallsyms]   [k] available_idle_cpu
     0.07%     0.05%  postgres         [kernel.kallsyms]   [k] find_get_pages_range_tag
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] pagevec_lookup_range_tag
     0.07%     0.01%  postgres         [kernel.kallsyms]   [k] nvme_queue_rq
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] __blk_mq_try_issue_directly
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] task_numa_work
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] futex_wait
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_page
     0.07%     0.06%  swapper          [kernel.kallsyms]   [k] menu_select
     0.07%     0.00%  kcompactd1       [kernel.kallsyms]   [k] __buffer_migrate_page.part.0
     0.07%     0.05%  kcompactd1       [kernel.kallsyms]   [k] vma_interval_tree_iter_next
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_dirty_inode
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] mark_buffer_dirty
     0.07%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_select
     0.07%     0.00%  postgres         [kernel.kallsyms]   [k] change_prot_numa
     0.07%     0.07%  tclsh8.6         [unknown]           [.] 0000000000000000
     0.07%     0.00%  swapper          [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.06%     0.01%  swapper          [kernel.kallsyms]   [k] pick_next_task_fair
     0.06%     0.00%  swapper          [kernel.kallsyms]   [k] hrtimer_interrupt
     0.06%     0.06%  postgres         [kernel.kallsyms]   [k] try_grab_compound_head
