# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     0.59%     0.34%  localfetcher#1   [kernel.kallsyms]          [k] __add_to_page_cache_locked
     0.58%     0.53%  java             [kernel.kallsyms]          [k] page_counter_cancel
     0.56%     0.56%  LocalJobRunner   libc.so.6                  [.] 0x00000000001b2eae
     0.56%     0.06%  LocalJobRunner   [kernel.kallsyms]          [k] try_to_wake_up
     0.55%     0.01%  VM Thread        [kernel.kallsyms]          [k] exc_page_fault
     0.53%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] exc_page_fault
     0.53%     0.01%  LocalJobRunner   [kernel.kallsyms]          [k] wake_up_q
     0.52%     0.05%  localfetcher#1   [kernel.kallsyms]          [k] __mem_cgroup_charge
     0.52%     0.01%  VM Thread        [kernel.kallsyms]          [k] do_user_addr_fault
     0.50%     0.00%  Sampler Reader   [kernel.kallsyms]          [k] do_user_addr_fault
     0.49%     0.01%  localfetcher#1   [kernel.kallsyms]          [k] alloc_pages_vma
     0.48%     0.02%  VM Thread        [kernel.kallsyms]          [k] handle_mm_fault
     0.48%     0.03%  kswapd0          [kernel.kallsyms]          [k] shrink_page_list
     0.48%     0.06%  java             [kernel.kallsyms]          [k] lock_page_lruvec_irq
     0.47%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] worker_thread
     0.47%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] kthread
     0.47%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] ret_from_fork
     0.47%     0.15%  java             [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
     0.46%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] process_one_work
     0.46%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] ext4_end_io_rsv_work
     0.46%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] cgroup_rstat_flush_irqsafe
     0.45%     0.18%  LocalJobRunner   [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
