# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 19811833428013
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.32%     0.02%  postgres         [kernel.kallsyms]     [k] load_balance
     0.32%     0.00%  swapper          [kernel.kallsyms]     [k] asm_common_interrupt
     0.32%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] autoremove_wake_function
     0.32%     0.00%  swapper          [kernel.kallsyms]     [k] common_interrupt
     0.31%     0.06%  postgres         [kernel.kallsyms]     [k] mark_buffer_dirty
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] default_wake_function
     0.31%     0.00%  postgres         [kernel.kallsyms]     [k] __submit_bio
     0.31%     0.16%  postgres         [kernel.kallsyms]     [k] __pagevec_lru_add
     0.31%     0.00%  postgres         [kernel.kallsyms]     [k] inet_sendmsg
     0.31%     0.07%  postgres         [kernel.kallsyms]     [k] set_task_cpu
     0.31%     0.01%  postgres         [kernel.kallsyms]     [k] udp_sendmsg
     0.30%     0.00%  swapper          [kernel.kallsyms]     [k] __common_interrupt
     0.30%     0.05%  postgres         [kernel.kallsyms]     [k] create_empty_buffers
     0.30%     0.03%  postgres         [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.30%     0.28%  kcompactd0       [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.30%     0.11%  postgres         [kernel.kallsyms]     [k] __count_memcg_events
     0.30%     0.00%  swapper          [kernel.kallsyms]     [k] handle_edge_irq
     0.30%     0.00%  postgres         [kernel.kallsyms]     [k] sock_recvmsg
     0.29%     0.01%  postgres         [kernel.kallsyms]     [k] scheduler_tick
     0.29%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_recvfrom
     0.29%     0.07%  postgres         [kernel.kallsyms]     [k] do_set_pte
     0.29%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_slab
     0.29%     0.00%  kswapd1          [kernel.kallsyms]     [k] do_shrink_slab
     0.29%     0.03%  postgres         [kernel.kallsyms]     [k] __mod_lruvec_state
     0.29%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __sys_recvfrom
     0.28%     0.00%  postgres         [kernel.kallsyms]     [k] schedule_hrtimeout_range
     0.28%     0.00%  swapper          [kernel.kallsyms]     [k] handle_irq_event
     0.28%     0.10%  postgres         [kernel.kallsyms]     [k] filemap_get_read_batch
     0.28%     0.01%  postgres         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
     0.28%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.28%     0.00%  swapper          [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.28%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] sock_recvmsg
     0.27%     0.00%  swapper          [kernel.kallsyms]     [k] nvme_irq
     0.27%     0.01%  swapper          [kernel.kallsyms]     [k] nvme_process_cq
     0.27%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] kthread
     0.27%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] ret_from_fork
     0.27%     0.00%  kworker/u98:1-f  [kernel.kallsyms]     [k] worker_thread
