# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 336K of event 'cycles'
# Event count (approx.): 6496021750873
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.37%     0.37%  localfetcher#1   [kernel.kallsyms]   [k] native_irq_return_iret
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     0.37%     0.37%  pool-4-thread-1  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.37%     0.09%  pool-4-thread-1  [kernel.kallsyms]   [k] __pagevec_lru_add
     0.37%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     0.37%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] handle_mm_fault
     0.36%     0.34%  pool-4-thread-1  [kernel.kallsyms]   [k] change_protection
     0.36%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] create_empty_buffers
     0.36%     0.00%  java             [kernel.kallsyms]   [k] lock_page_lruvec_irqsave
     0.36%     0.33%  LocalJobRunner   [kernel.kallsyms]   [k] change_protection
     0.35%     0.01%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
     0.35%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] mark_buffer_dirty
     0.34%     0.00%  java             [kernel.kallsyms]   [k] tlb_flush_mmu
     0.34%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] page_cache_sync_ra
     0.34%     0.27%  java             [kernel.kallsyms]   [k] __count_memcg_events
     0.34%     0.08%  java             [kernel.kallsyms]   [k] release_pages
     0.34%     0.03%  java             [kernel.kallsyms]   [k] lru_cache_add
     0.34%     0.25%  localfetcher#1   [kernel.kallsyms]   [k] rmqueue_bulk
     0.33%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] migrate_pages
     0.33%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] __handle_mm_fault
     0.33%     0.00%  java             [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages_slowpath.constprop.0
     0.32%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.32%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] lru_cache_add_inactive_or_unevictable
     0.32%     0.03%  kswapd0          [kernel.kallsyms]   [k] __remove_mapping
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] do_try_to_free_pages
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] shrink_node
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] try_to_free_pages
     0.32%     0.14%  java             [kernel.kallsyms]   [k] page_vma_mapped_walk
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_get_pages
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] shrink_lruvec
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] evict_pages
     0.31%     0.14%  pool-4-thread-1  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ondemand_readahead
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_ra_unbounded
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] task_work_run
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] task_numa_work
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] change_prot_numa
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_async_ra
     0.31%     0.13%  java             [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.31%     0.01%  java             [kernel.kallsyms]   [k] schedule
     0.31%     0.00%  java             [kernel.kallsyms]   [k] move_to_new_page
     0.31%     0.00%  java             [kernel.kallsyms]   [k] migrate_page
     0.30%     0.26%  pool-4-thread-1  [kernel.kallsyms]   [k] _raw_spin_lock
     0.30%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_page_buffers
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] kthread
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] ret_from_fork
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] worker_thread
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] process_one_work
     0.30%     0.24%  localfetcher#1   [kernel.kallsyms]   [k] try_charge_memcg
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] wb_workfn
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] wb_writeback
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] __writeback_single_inode
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] do_writepages
     0.30%     0.00%  kworker/u97:0+f  [kernel.kallsyms]   [k] writeback_sb_inodes
