# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.28%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] do_syscall_64
     0.27%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_task_change
     0.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __set_task_comm
     0.27%     0.06%  swapper          [kernel.kallsyms]                   [k] enqueue_entity
     0.27%     0.12%  swapper          [kernel.kallsyms]                   [k] set_next_entity
     0.27%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ksys_write
     0.27%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] __x64_sys_write
     0.27%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] vfs_write
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] new_sync_write
     0.26%     0.04%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_queue
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_file_write_iter
     0.26%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     0.26%     0.25%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.25%     0.03%  swapper          [kernel.kallsyms]                   [k] flush_smp_call_function_from_idle
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.25%     0.16%  Native-Transpor  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.25%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] generic_perform_write
     0.25%     0.02%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.25%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.25%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.24%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.24%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.24%     0.23%  Native-Transpor  [kernel.kallsyms]                   [k] next_uptodate_page
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.24%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.24%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.23%     0.02%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.23%     0.03%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.23%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.23%     0.20%  kswapd0          [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.23%     0.07%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_entity
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.23%     0.20%  NonPeriodicTask  [kernel.kallsyms]                   [k] release_pages
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.23%     0.23%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.22%     0.13%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.22%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.22%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.22%     0.22%  kswapd1          [kernel.kallsyms]                   [k] xas_create
     0.22%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.22%     0.22%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.22%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.22%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.21%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
