# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11612035658184
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     0.66%     0.05%  tclsh8.6         [kernel.kallsyms]                                 [k] __wake_up_common
     0.66%     0.01%  swapper          [kernel.kallsyms]                                 [k] scheduler_tick
     0.66%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] sock_alloc_send_pskb
     0.65%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] __sysvec_call_function_single
     0.65%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] sock_def_readable
     0.64%     0.53%  swapper          [kernel.kallsyms]                                 [k] switch_mm_irqs_off
     0.64%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] alloc_skb_with_frags
     0.63%     0.36%  mariadbd         [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     0.63%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] task_tick_fair
     0.63%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] exit_to_user_mode_loop
     0.61%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] sched_ttwu_pending
     0.61%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] try_to_wake_up
     0.61%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_bio_end_io
     0.61%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] pollwake
     0.61%     0.03%  tclsh8.6         [kernel.kallsyms]                                 [k] __alloc_skb
     0.58%     0.14%  mariadbd         [kernel.kallsyms]                                 [k] wake_affine_weight
     0.57%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_io_getevents
     0.57%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] default_send_IPI_mask_sequence_phys
     0.56%     0.01%  swapper          [kernel.kallsyms]                                 [k] perf_event_task_tick
     0.56%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] do_io_getevents
     0.55%     0.07%  swapper          [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     0.55%     0.49%  mariadbd         [kernel.kallsyms]                                 [k] _raw_spin_lock_irqsave
     0.55%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] asm_sysvec_call_function
     0.54%     0.04%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_restart_sched_tick
     0.53%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] nvme_map_data
     0.53%     0.18%  mariadbd         [kernel.kallsyms]                                 [k] set_task_cpu
     0.52%     0.16%  swapper          [kernel.kallsyms]                                 [k] set_next_entity
     0.52%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] read_events
     0.52%     0.14%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_next_event
     0.52%     0.51%  mariadbd         [kernel.kallsyms]                                 [k] __update_load_avg_cfs_rq
     0.52%     0.52%  mariadbd         [kernel.kallsyms]                                 [k] update_cfs_group
     0.51%     0.51%  swapper          [kernel.kallsyms]                                 [k] __switch_to_asm
     0.51%     0.51%  swapper          [kernel.kallsyms]                                 [k] get_typical_interval
     0.49%     0.20%  swapper          [kernel.kallsyms]                                 [k] flush_smp_call_function_queue
     0.49%     0.02%  swapper          [kernel.kallsyms]                                 [k] _nohz_idle_balance.constprop.0.isra.0
     0.48%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.48%     0.32%  mariadbd         [kernel.kallsyms]                                 [k] ktime_get
     0.47%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_da_write_begin
     0.46%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] lockless_pages_from_mm
     0.45%     0.01%  swapper          [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     0.45%     0.08%  swapper          [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.45%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sysvec_call_function
     0.45%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __mark_inode_dirty
     0.45%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.44%     0.43%  mariadbd         [kernel.kallsyms]                                 [k] __update_load_avg_se
     0.44%     0.44%  mariadbd         [kernel.kallsyms]                                 [k] __switch_to_asm
     0.44%     0.44%  mariadbd         [kernel.kallsyms]                                 [k] update_cfs_rq_h_load
     0.43%     0.43%  mariadbd         [kernel.kallsyms]                                 [k] cpuacct_charge
     0.43%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] update_blocked_averages
     0.42%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] kmem_cache_alloc_node
     0.42%     0.41%  mariadbd         [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.41%     0.37%  swapper          [kernel.kallsyms]                                 [k] _raw_spin_lock
     0.41%     0.03%  swapper          [kernel.kallsyms]                                 [k] update_blocked_averages
     0.41%     0.40%  mariadbd         [kernel.kallsyms]                                 [k] copy_user_generic_string
     0.41%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] delete_from_swap_cache
     0.40%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] consume_skb
     0.40%     0.06%  tclsh8.6         [kernel.kallsyms]                                 [k] kmem_cache_alloc_node
     0.40%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dirty_inode
     0.40%     0.40%  swapper          [kernel.kallsyms]                                 [k] read_tsc
     0.40%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_do_wakeup
     0.40%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] gup_pgd_range
     0.40%     0.40%  mariadbd         libpthread-2.28.so                                [.] __pthread_mutex_lock
     0.39%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] free_swap_cache
     0.39%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __lock_page_or_retry
     0.39%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] __alloc_pages
     0.39%     0.39%  mariadbd         libpthread-2.28.so                                [.] __lll_lock_wait
     0.39%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] try_to_free_swap.part.0
     0.38%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] wait_on_page_bit_common
     0.38%     0.38%  mariadbd         [kernel.kallsyms]                                 [k] __switch_to
     0.37%     0.04%  swapper          [kernel.kallsyms]                                 [k] rebalance_domains
     0.37%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] default_send_IPI_mask_sequence_phys
     0.37%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] check_preempt_curr
     0.37%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] free_swap_slot
     0.36%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_ext_map_blocks
     0.36%     0.03%  swapper          [kernel.kallsyms]                                 [k] sched_clock_cpu
     0.36%     0.36%  kswapd0          [kernel.kallsyms]                                 [k] __default_send_IPI_dest_field
     0.35%     0.10%  mariadbd         [kernel.kallsyms]                                 [k] flush_smp_call_function_queue
     0.35%     0.35%  mariadbd         [kernel.kallsyms]                                 [k] llist_add_batch
