# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6647396362522
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                     
# ........  ........  ...............  ....................  ...........................................................................................................................................................................
#
     0.72%     0.48%  mariadbd         [kernel.kallsyms]     [k] __audit_syscall_exit
     0.68%     0.00%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_pwrite64
     0.68%     0.00%  mariadbd         [kernel.kallsyms]     [k] vfs_write
     0.68%     0.00%  mariadbd         [kernel.kallsyms]     [k] new_sync_write
     0.68%     0.00%  mariadbd         [kernel.kallsyms]     [k] ext4_buffered_write_iter
     0.67%     0.01%  mariadbd         [kernel.kallsyms]     [k] sock_alloc_send_pskb
     0.67%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.66%     0.04%  mariadbd         [kernel.kallsyms]     [k] alloc_skb_with_frags
     0.65%     0.05%  tclsh8.6         [kernel.kallsyms]     [k] __wake_up_common
     0.65%     0.63%  mariadbd         [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath.part.0
     0.65%     0.00%  mariadbd         [kernel.kallsyms]     [k] generic_perform_write
     0.64%     0.04%  swapper          [kernel.kallsyms]     [k] blk_update_request
     0.64%     0.51%  mariadbd         [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.63%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] sock_def_readable
     0.63%     0.05%  mariadbd         [kernel.kallsyms]     [k] nvme_map_data
     0.63%     0.01%  swapper          [kernel.kallsyms]     [k] scheduler_tick
     0.62%     0.02%  mariadbd         [kernel.kallsyms]     [k] wake_affine
     0.62%     0.03%  mariadbd         [kernel.kallsyms]     [k] load_balance
     0.62%     0.04%  mariadbd         [kernel.kallsyms]     [k] __alloc_skb
     0.61%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
