# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
     0.61%     0.02%  swapper          [kernel.kallsyms]           [k] _nohz_idle_balance.constprop.0.isra.0
     0.61%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] sock_def_readable
     0.61%     0.46%  swapper          [kernel.kallsyms]           [k] switch_mm_irqs_off
     0.61%     0.00%  tclsh8.6         [kernel.kallsyms]           [k] sock_alloc_send_pskb
     0.60%     0.01%  mariadbd         [kernel.kallsyms]           [k] delete_from_swap_cache
     0.60%     0.04%  swapper          [kernel.kallsyms]           [k] tick_nohz_restart_sched_tick
     0.59%     0.01%  swapper          [kernel.kallsyms]           [k] perf_event_task_tick
     0.59%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] alloc_skb_with_frags
     0.59%     0.10%  mariadbd         [kernel.kallsyms]           [k] task_tick_fair
     0.58%     0.07%  swapper          [kernel.kallsyms]           [k] perf_adjust_freq_unthr_context
     0.58%     0.02%  mariadbd         [kernel.kallsyms]           [k] lockless_pages_from_mm
     0.57%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] pollwake
     0.57%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] try_to_wake_up
     0.56%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] __alloc_skb
     0.56%     0.00%  mariadbd         [kernel.kallsyms]           [k] sysvec_call_function_single
     0.55%     0.55%  swapper          [kernel.kallsyms]           [k] get_typical_interval
     0.55%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_io_getevents
     0.54%     0.14%  swapper          [kernel.kallsyms]           [k] tick_nohz_next_event
     0.54%     0.01%  mariadbd         [kernel.kallsyms]           [k] do_io_getevents
     0.53%     0.21%  swapper          [kernel.kallsyms]           [k] flush_smp_call_function_queue
     0.53%     0.49%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock_irqsave
     0.52%     0.13%  mariadbd         [kernel.kallsyms]           [k] wake_affine_weight
     0.52%     0.00%  mariadbd         [kernel.kallsyms]           [k] __sysvec_call_function_single
     0.52%     0.05%  mariadbd         [kernel.kallsyms]           [k] nvme_map_data
     0.52%     0.08%  mariadbd         [kernel.kallsyms]           [k] rmap_walk_anon
     0.51%     0.36%  mariadbd         [kernel.kallsyms]           [k] ktime_get
     0.51%     0.10%  mariadbd         [kernel.kallsyms]           [k] gup_pgd_range
     0.50%     0.01%  mariadbd         [kernel.kallsyms]           [k] read_events
