# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
     0.44%     0.42%  mariadbd         [kernel.kallsyms]           [k] _raw_spin_lock_irqsave
     0.43%     0.26%  mariadbd         [kernel.kallsyms]           [k] x86_pmu_disable_all
     0.43%     0.40%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock
     0.43%     0.43%  mariadbd         [kernel.kallsyms]           [k] __restore_fpregs_from_fpstate
     0.43%     0.04%  swapper          [kernel.kallsyms]           [k] update_blocked_averages
     0.43%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_io_getevents
     0.43%     0.01%  swapper          [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.43%     0.34%  mariadbd         [kernel.kallsyms]           [k] update_sg_lb_stats
     0.42%     0.01%  mariadbd         [kernel.kallsyms]           [k] do_io_getevents
     0.41%     0.41%  swapper          [kernel.kallsyms]           [k] read_tsc
     0.41%     0.41%  mariadbd         [kernel.kallsyms]           [k] update_cfs_group
     0.41%     0.00%  mariadbd         [kernel.kallsyms]           [k] __sysvec_call_function_single
     0.41%     0.12%  mariadbd         [kernel.kallsyms]           [k] gup_pgd_range
     0.39%     0.06%  swapper          [kernel.kallsyms]           [k] clockevents_program_event
     0.39%     0.01%  mariadbd         [kernel.kallsyms]           [k] read_events
     0.39%     0.39%  mariadbd         [kernel.kallsyms]           [k] cpuacct_charge
     0.37%     0.37%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_cfs_rq
     0.37%     0.37%  mariadbd         [kernel.kallsyms]           [k] copy_user_generic_string
     0.37%     0.05%  swapper          [kernel.kallsyms]           [k] __hrtimer_start_range_ns
     0.37%     0.04%  swapper          [kernel.kallsyms]           [k] rebalance_domains
     0.37%     0.25%  mariadbd         [kernel.kallsyms]           [k] ktime_get
     0.37%     0.37%  swapper          [kernel.kallsyms]           [k] __switch_to_asm
     0.36%     0.02%  mariadbd         [kernel.kallsyms]           [k] sched_ttwu_pending
     0.36%     0.07%  mariadbd         [kernel.kallsyms]           [k] kmem_cache_alloc_node
     0.35%     0.02%  swapper          [kernel.kallsyms]           [k] iomap_dio_bio_end_io
     0.35%     0.03%  swapper          [kernel.kallsyms]           [k] sched_clock_cpu
     0.35%     0.05%  swapper          [kernel.kallsyms]           [k] tick_nohz_idle_enter
     0.34%     0.09%  mariadbd         [kernel.kallsyms]           [k] wake_affine_weight
     0.33%     0.32%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_se
     0.33%     0.02%  swapper          [kernel.kallsyms]           [k] try_to_wake_up
     0.33%     0.33%  mariadbd         libpthread-2.28.so          [.] __pthread_mutex_lock
     0.33%     0.01%  mariadbd         [kernel.kallsyms]           [k] __alloc_pages
     0.33%     0.01%  mariadbd         [kernel.kallsyms]           [k] consume_skb
     0.32%     0.04%  swapper          [kernel.kallsyms]           [k] load_balance
     0.32%     0.07%  swapper          [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.32%     0.11%  mariadbd         [kernel.kallsyms]           [k] set_task_cpu
     0.32%     0.06%  tclsh8.6         [kernel.kallsyms]           [k] kmem_cache_alloc_node
     0.32%     0.10%  mariadbd         [kernel.kallsyms]           [k] default_send_IPI_single_phys
     0.32%     0.32%  swapper          [kernel.kallsyms]           [k] native_sched_clock
     0.31%     0.02%  mariadbd         [kernel.kallsyms]           [k] nvme_pci_setup_prps
     0.31%     0.31%  mariadbd         [kernel.kallsyms]           [k] __switch_to
     0.31%     0.03%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_loop
     0.30%     0.30%  mariadbd         libpthread-2.28.so          [.] __lll_lock_wait
     0.30%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_checks
     0.30%     0.17%  mariadbd         [kernel.kallsyms]           [k] mark_wake_futex
     0.30%     0.01%  mariadbd         [kernel.kallsyms]           [k] get_page_from_freelist
     0.30%     0.05%  mariadbd         [kernel.kallsyms]           [k] select_idle_core
     0.30%     0.02%  mariadbd         [kernel.kallsyms]           [k] __softirqentry_text_start
     0.29%     0.03%  mariadbd         [kernel.kallsyms]           [k] ttwu_do_wakeup
     0.29%     0.01%  mariadbd         [kernel.kallsyms]           [k] __mark_inode_dirty
     0.29%     0.18%  mariadbd         [kernel.kallsyms]           [k] dma_pool_alloc
     0.29%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_da_write_begin
     0.28%     0.28%  swapper          [kernel.kallsyms]           [k] __update_load_avg_cfs_rq
     0.28%     0.04%  mariadbd         [kernel.kallsyms]           [k] gup_pud_range.constprop.0
     0.28%     0.02%  swapper          [kernel.kallsyms]           [k] quiet_vmstat
     0.27%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] syscall_exit_to_user_mode
     0.27%     0.00%  mariadbd         [kernel.kallsyms]           [k] irqentry_exit_to_user_mode
     0.27%     0.27%  swapper          [kernel.kallsyms]           [k] llist_reverse_order
     0.27%     0.20%  swapper          [kernel.kallsyms]           [k] asm_sysvec_reschedule_ipi
     0.26%     0.03%  swapper          [kernel.kallsyms]           [k] hrtimer_next_event_without
     0.26%     0.04%  mariadbd         [kernel.kallsyms]           [k] check_preempt_curr
