# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 509K of event 'cycles'
# Event count (approx.): 7640386455938
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.33%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.33%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     0.32%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] task_work_run
     0.32%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] change_prot_numa
     0.32%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] task_numa_work
     0.32%     0.10%  pool-4-thread-1  [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.32%     0.05%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.32%     0.00%  java             [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.32%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] create_empty_buffers
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] task_work_run
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] task_numa_work
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] change_prot_numa
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] irqentry_exit
     0.31%     0.08%  java             [kernel.kallsyms]     [k] release_pages
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] __walk_page_range
     0.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] try_to_inc_max_seq
     0.31%     0.00%  kswapd1          [kernel.kallsyms]     [k] walk_page_range
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.31%     0.03%  kswapd0          [kernel.kallsyms]     [k] __remove_mapping
     0.30%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] migrate_pages
     0.30%     0.29%  localfetcher#1   [kernel.kallsyms]     [k] change_protection
