# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 108795812652
#
# Children      Self  Command          Shared Object        Symbol                                                                                                            
# ........  ........  ...............  ...................  ..................................................................................................................
#
     0.46%     0.13%  swapper          [kernel.kallsyms]    [k] tick_nohz_next_event
     0.45%     0.12%  swapper          [kernel.kallsyms]    [k] set_next_entity
     0.45%     0.04%  swapper          [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.45%     0.45%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.44%     0.44%  mariadbd         [kernel.kallsyms]    [k] save_fpregs_to_fpstate
     0.43%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.43%     0.43%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.43%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function
     0.43%     0.08%  mariadbd         [kernel.kallsyms]    [k] check_preempt_curr
     0.42%     0.06%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.42%     0.04%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
     0.42%     0.02%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.41%     0.08%  mariadbd         [kernel.kallsyms]    [k] get_page_from_freelist
     0.41%     0.06%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.40%     0.04%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] consume_skb
     0.40%     0.40%  mariadbd         mariadbd             [.] crc32c_3way
     0.39%     0.29%  swapper          [kernel.kallsyms]    [k] __hrtimer_next_event_base
     0.39%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] select_task_rq_fair
     0.39%     0.35%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.39%     0.00%  kswapd0          [kernel.kallsyms]    [k] do_shrink_slab
     0.39%     0.39%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.39%     0.02%  swapper          [kernel.kallsyms]    [k] hrtimer_next_event_without
     0.39%     0.14%  mariadbd         [kernel.kallsyms]    [k] gup_pgd_range
     0.37%     0.00%  mariadbd         [kernel.kallsyms]    [k] put_swap_page
