# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 81K of event 'cycles'
# Event count (approx.): 6486313969415
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     0.37%     0.01%  kswapd0          [kernel.kallsyms]  [k] rmap_walk_file
     0.37%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] do_sys_poll
     0.36%     0.15%  postgres         [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.36%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule
     0.36%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     0.36%     0.05%  tclsh8.6         [kernel.kallsyms]  [k] __schedule
     0.36%     0.35%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.36%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_sendmsg
     0.35%     0.03%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.35%     0.02%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.35%     0.15%  postgres         [kernel.kallsyms]  [k] kmem_cache_alloc
     0.35%     0.08%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_map_blocks
     0.35%     0.04%  postgres         [kernel.kallsyms]  [k] mark_buffer_dirty
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.34%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.34%     0.11%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.34%     0.03%  kworker/u97:1-w  [kernel.kallsyms]  [k] ext4_bio_write_page
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] irqentry_exit
     0.34%     0.04%  postgres         [kernel.kallsyms]  [k] unlock_page
     0.34%     0.05%  kswapd0          [kernel.kallsyms]  [k] page_referenced_one
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.34%     0.05%  postgres         [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.33%     0.03%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.33%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_es_insert_extent
     0.33%     0.02%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.33%     0.06%  postgres         [kernel.kallsyms]  [k] psi_task_change
     0.32%     0.03%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     0.32%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.32%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.32%     0.31%  postgres         [kernel.kallsyms]  [k] __switch_to_asm
     0.32%     0.00%  postgres         [kernel.kallsyms]  [k] task_numa_work
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_end_io
     0.31%     0.01%  kswapd1          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.31%     0.01%  postgres         [kernel.kallsyms]  [k] __read_end_io
     0.31%     0.29%  postgres         [kernel.kallsyms]  [k] task_numa_find_cpu
     0.31%     0.05%  kswapd1          [kernel.kallsyms]  [k] free_unref_page_list
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] balance_dirty_pages
     0.31%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_release_page
     0.31%     0.01%  kswapd1          [kernel.kallsyms]  [k] ext4_releasepage
     0.31%     0.05%  postgres         [kernel.kallsyms]  [k] psi_task_switch
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] kthread
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] process_one_work
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] ret_from_fork
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] wb_workfn
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] worker_thread
     0.31%     0.12%  swapper          [kernel.kallsyms]  [k] menu_select
     0.31%     0.30%  swapper          [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] __writeback_single_inode
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] do_writepages
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] wb_writeback
     0.31%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_async_ra
     0.30%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] ext4_writepages
     0.30%     0.00%  kworker/u97:0-w  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.30%     0.02%  postgres         [kernel.kallsyms]  [k] load_balance
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     0.30%     0.03%  postgres         [kernel.kallsyms]  [k] xas_store
     0.30%     0.03%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_page_bit
     0.30%     0.16%  postgres         [kernel.kallsyms]  [k] _find_next_bit
     0.30%     0.01%  kswapd1          [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.29%     0.25%  postgres         [kernel.kallsyms]  [k] file_update_time
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_submit_page
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_state
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_locked_key_bookmark
     0.29%     0.02%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.29%     0.02%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] wake_page_function
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] change_prot_numa
