# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3285379816649
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ................................................  ...............................................................................................................................................................................................................
#
     0.21%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] rebalance_domains
     0.21%     0.00%  C2 CompilerThre  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.21%     0.20%  kworker/u64:37-  [kernel.kallsyms]                                 [k] mpage_process_page_bufs
     0.21%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] __d_lookup_rcu
     0.21%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kcompactd
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] kthread
     0.21%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] ret_from_fork
     0.21%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] tick_program_event
     0.21%     0.00%  swapper          [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.21%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] touch_atime
     0.20%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.20%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] compact_zone
     0.20%     0.18%  Executor task l  [kernel.kallsyms]                                 [k] kmem_cache_free
     0.20%     0.00%  C2 CompilerThre  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.20%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] sync_regs
     0.19%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] migrate_pages
     0.19%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] unmap_and_move
     0.19%     0.01%  C2 CompilerThre  [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.19%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] submit_bio_noacct
     0.19%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] bio_alloc_bioset
     0.19%     0.01%  kswapd0          [kernel.kallsyms]                                 [k] __delete_from_page_cache
     0.19%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] allocate_slab
     0.19%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] mempool_alloc
     0.19%     0.05%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ext4_bio_write_page
     0.19%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] account_page_dirtied
     0.18%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] timekeeping_advance
     0.18%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] link_path_walk.part.0
     0.18%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock
     0.18%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] lock_page_lruvec_irqsave
     0.18%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] nvme_pci_setup_prps
     0.18%     0.03%  kswapd0          [kernel.kallsyms]                                 [k] unaccount_page_cache_page
     0.18%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     0.18%     0.00%  G1 Refine#1      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.18%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] hrtimer_interrupt
     0.18%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] up_read
     0.18%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_futex
