# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 246K of event 'cycles'
# Event count (approx.): 6610041225293
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.34%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.34%     0.08%  kworker/u98:0-w  [kernel.kallsyms]   [k] __test_set_page_writeback
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] kthread
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] ret_from_fork
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] worker_thread
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] process_one_work
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_single_inode
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] do_writepages
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_workfn
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_writeback
     0.34%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.34%     0.02%  kworker/u97:13-  [kernel.kallsyms]   [k] ext4_writepages
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_begin
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_futex
     0.31%     0.00%  kswapd0          [kernel.kallsyms]   [k] try_to_release_page
     0.31%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_futex
     0.31%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] mark_buffer_dirty
     0.31%     0.01%  kswapd0          [kernel.kallsyms]   [k] ext4_releasepage
     0.31%     0.00%  kswapd0          [kernel.kallsyms]   [k] __delete_from_page_cache
     0.31%     0.03%  kswapd1          [kernel.kallsyms]   [k] __remove_mapping
     0.30%     0.01%  kswapd0          [kernel.kallsyms]   [k] jbd2_journal_try_to_free_buffers
     0.29%     0.01%  kworker/u97:12-  [kernel.kallsyms]   [k] mpage_submit_page
     0.29%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] create_empty_buffers
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] kthread
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ret_from_fork
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] worker_thread
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] process_one_work
     0.29%     0.00%  java             [kernel.kallsyms]   [k] tlb_flush_mmu
     0.29%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.28%     0.12%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_mark_iloc_dirty
     0.28%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] mark_buffer_dirty
     0.28%     0.06%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.28%     0.03%  java             [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.28%     0.08%  java             [kernel.kallsyms]   [k] release_pages
     0.27%     0.27%  InMemoryMerger   [kernel.kallsyms]   [k] __get_user_nocheck_1
     0.27%     0.12%  localfetcher#1   [kernel.kallsyms]   [k] charge_memcg
     0.27%     0.17%  java             [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.27%     0.00%  java             [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.27%     0.18%  kworker/u96:1-e  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.27%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] pagecache_get_page
     0.27%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.26%     0.03%  kworker/u98:0-w  [kernel.kallsyms]   [k] mpage_prepare_extent_to_map
     0.26%     0.10%  pool-4-thread-1  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.26%     0.21%  java             [kernel.kallsyms]   [k] __count_memcg_events
     0.25%     0.23%  pool-4-thread-1  [kernel.kallsyms]   [k] rmqueue_bulk
     0.25%     0.00%  kswapd1          [kernel.kallsyms]   [k] try_to_release_page
     0.25%     0.01%  kswapd1          [kernel.kallsyms]   [k] ext4_releasepage
     0.24%     0.10%  InMemoryMerger   [kernel.kallsyms]   [k] balance_dirty_pages_ratelimited
     0.24%     0.01%  kswapd1          [kernel.kallsyms]   [k] jbd2_journal_try_to_free_buffers
     0.24%     0.02%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.24%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_page_buffers
     0.23%     0.06%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_get_block_prep
     0.23%     0.01%  java             [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.23%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] create_empty_buffers
     0.23%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_slab
     0.23%     0.03%  kswapd0          [kernel.kallsyms]   [k] free_unref_page_list
     0.23%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_buffer_head
     0.23%     0.00%  java             [kernel.kallsyms]   [k] try_to_migrate
