# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
     1.84%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.83%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_lruvec
     1.83%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_inactive_list
     1.68%     0.22%  Executor task l  [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     1.59%     0.25%  Executor task l  [kernel.kallsyms]                  [k] rmqueue
     1.55%     0.01%  Executor task l  [kernel.kallsyms]                  [k] amd_pmu_disable_all
     1.47%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     1.44%     0.17%  Executor task l  [kernel.kallsyms]                  [k] ext4_mpage_readpages
     1.37%     0.06%  Executor task l  [kernel.kallsyms]                  [k] ext4_da_write_end
     1.33%     0.02%  Executor task l  [kernel.kallsyms]                  [k] pagecache_get_page
     1.33%     0.00%  Executor task l  [kernel.kallsyms]                  [k] grab_cache_page_write_begin
     1.28%     0.79%  Executor task l  [kernel.kallsyms]                  [k] account_user_time
     1.27%     0.75%  Executor task l  [kernel.kallsyms]                  [k] update_curr
     1.26%     0.04%  Executor task l  [kernel.kallsyms]                  [k] __block_write_begin_int
     1.24%     0.15%  Executor task l  [kernel.kallsyms]                  [k] __irq_exit_rcu
     1.23%     0.00%  Executor task l  [kernel.kallsyms]                  [k] try_to_free_pages
     1.23%     0.01%  GC Thread#13     [kernel.kallsyms]                  [k] shrink_page_list
     1.23%     0.00%  Executor task l  [kernel.kallsyms]                  [k] do_try_to_free_pages
     1.23%     0.00%  Executor task l  [kernel.kallsyms]                  [k] shrink_zones
     1.23%     0.00%  Executor task l  [kernel.kallsyms]                  [k] shrink_node
     1.23%     0.00%  Executor task l  [kernel.kallsyms]                  [k] shrink_node_memcgs
     1.22%     0.02%  GC Thread#2      [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.01%  GC Thread#1      [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.01%  GC Thread#22     [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.01%  GC Thread#4      [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.01%  GC Thread#11     [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.01%  GC Thread#20     [kernel.kallsyms]                  [k] shrink_page_list
     1.22%     0.04%  Executor task l  [kernel.kallsyms]                  [k] __mark_inode_dirty
     1.22%     0.02%  GC Thread#18     [kernel.kallsyms]                  [k] shrink_page_list
     1.19%     1.02%  Executor task l  [kernel.kallsyms]                  [k] x86_pmu_disable_all
     1.14%     0.00%  Executor task l  [kernel.kallsyms]                  [k] shrink_lruvec
     1.12%     0.02%  Executor task l  [kernel.kallsyms]                  [k] generic_write_end
     1.11%     0.03%  Executor task l  [kernel.kallsyms]                  [k] mem_cgroup_charge
     1.10%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ext4_dirty_inode
     1.10%     0.00%  Executor task l  [kernel.kallsyms]                  [k] shrink_inactive_list
     1.07%     0.01%  Executor task l  [kernel.kallsyms]                  [k] asm_common_interrupt
     1.06%     0.01%  Executor task l  [kernel.kallsyms]                  [k] common_interrupt
     1.05%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] kcompactd
     1.05%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] kthread
     1.05%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] ret_from_fork
     1.05%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] compact_zone
     1.03%     0.09%  Executor task l  [kernel.kallsyms]                  [k] lru_cache_add
     1.03%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] migrate_pages
     1.03%     0.67%  Executor task l  [kernel.kallsyms]                  [k] rmqueue_bulk
     1.03%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] unmap_and_move
     0.98%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] proactive_compact_node
     0.96%     0.01%  kcompactd0       [kernel.kallsyms]                  [k] __unmap_and_move
     0.96%     0.93%  Executor task l  [kernel.kallsyms]                  [k] ktime_get_update_offsets_now
     0.95%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __common_interrupt
     0.95%     0.12%  Executor task l  [kernel.kallsyms]                  [k] rcu_sched_clock_irq
     0.95%     0.58%  Executor task l  [kernel.kallsyms]                  [k] xas_load
     0.94%     0.09%  Executor task l  [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.93%     0.01%  Executor task l  [kernel.kallsyms]                  [k] __ext4_mark_inode_dirty
     0.93%     0.03%  Executor task l  [kernel.kallsyms]                  [k] handle_edge_irq
     0.91%     0.54%  Executor task l  [kernel.kallsyms]                  [k] filemap_get_read_batch
     0.85%     0.01%  Executor task l  [kernel.kallsyms]                  [k] handle_irq_event
     0.84%     0.11%  Executor task l  [kernel.kallsyms]                  [k] __softirqentry_text_start
     0.81%     0.10%  Executor task l  [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.81%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.80%     0.06%  kswapd0          [kernel.kallsyms]                  [k] __remove_mapping
     0.78%     0.00%  Executor task l  [kernel.kallsyms]                  [k] nvme_irq
     0.78%     0.09%  Executor task l  [kernel.kallsyms]                  [k] nvme_process_cq
     0.75%     0.34%  Executor task l  [kernel.kallsyms]                  [k] rcu_pending
     0.74%     0.35%  Executor task l  [kernel.kallsyms]                  [k] kmem_cache_alloc
     0.72%     0.07%  Executor task l  [kernel.kallsyms]                  [k] __mem_cgroup_charge
     0.72%     0.25%  Executor task l  [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.71%     0.00%  swapper          [kernel.kallsyms]                  [k] cpu_startup_entry
     0.71%     0.00%  swapper          [kernel.kallsyms]                  [k] secondary_startup_64_no_verify
     0.71%     0.01%  swapper          [kernel.kallsyms]                  [k] do_idle
     0.70%     0.01%  Executor task l  [kernel.kallsyms]                  [k] irqentry_exit_to_user_mode
     0.69%     0.02%  kcompactd0       [kernel.kallsyms]                  [k] rmap_walk_anon
     0.68%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] worker_thread
     0.68%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] kthread
     0.68%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] ret_from_fork
     0.67%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] process_one_work
     0.67%     0.65%  GC Thread#4      [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] try_to_migrate
     0.66%     0.64%  GC Thread#13     [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.66%     0.64%  GC Thread#2      [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.66%     0.59%  Executor task l  [kernel.kallsyms]                  [k] ktime_get
     0.65%     0.63%  GC Thread#11     [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.64%     0.00%  Executor task l  [kernel.kallsyms]                  [k] blk_finish_plug
     0.64%     0.63%  GC Thread#18     [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.64%     0.62%  GC Thread#22     [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.63%     0.01%  kcompactd0       [kernel.kallsyms]                  [k] try_to_migrate_one
     0.63%     0.62%  GC Thread#1      [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.63%     0.01%  Executor task l  [kernel.kallsyms]                  [k] blk_mq_flush_plug_list
     0.61%     0.01%  Executor task l  [kernel.kallsyms]                  [k] blk_mq_sched_insert_requests
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] ptep_clear_flush
     0.61%     0.02%  kcompactd0       [kernel.kallsyms]                  [k] flush_tlb_mm_range
     0.60%     0.29%  Executor task l  [kernel.kallsyms]                  [k] xas_store
     0.60%     0.03%  Executor task l  [kernel.kallsyms]                  [k] exit_to_user_mode_loop
     0.60%     0.02%  Executor task l  [kernel.kallsyms]                  [k] blk_mq_try_issue_list_directly
     0.60%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __x64_sys_openat
     0.60%     0.00%  Executor task l  [kernel.kallsyms]                  [k] do_sys_openat2
     0.60%     0.58%  GC Thread#20     [kernel.kallsyms]                  [k] native_queued_spin_lock_slowpath.part.0
     0.59%     0.29%  Executor task l  [kernel.kallsyms]                  [k] update_rq_clock_task
     0.58%     0.01%  Executor task l  [kernel.kallsyms]                  [k] shrink_page_list
     0.58%     0.24%  Executor task l  [kernel.kallsyms]                  [k] __mod_lruvec_page_state
     0.57%     0.01%  swapper          [kernel.kallsyms]                  [k] cpuidle_idle_call
     0.57%     0.01%  Executor task l  [kernel.kallsyms]                  [k] __blk_mq_try_issue_directly
     0.56%     0.02%  Executor task l  [kernel.kallsyms]                  [k] schedule
     0.56%     0.37%  kcompactd0       [kernel.kallsyms]                  [k] smp_call_function_many_cond
     0.56%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] on_each_cpu_cond_mask
     0.56%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ext4_mark_iloc_dirty
     0.56%     0.09%  Executor task l  [kernel.kallsyms]                  [k] __schedule
     0.56%     0.01%  GC Thread#2      [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.56%     0.01%  GC Thread#4      [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.56%     0.01%  GC Thread#13     [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.55%     0.01%  GC Thread#11     [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.55%     0.55%  Executor task l  [kernel.kallsyms]                  [k] __list_del_entry_valid
     0.54%     0.06%  Executor task l  [kernel.kallsyms]                  [k] nvme_queue_rq
     0.54%     0.01%  GC Thread#18     [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] wb_workfn
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] wb_do_writeback
     0.54%     0.01%  GC Thread#1      [kernel.kallsyms]                  [k] _raw_spin_lock_irq
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] wb_writeback
     0.54%     0.01%  GC Thread#22     [kernel.kallsyms]                  [k] _raw_spin_lock_irq
