# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11131294483677
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
     0.87%     0.00%  kswapd0          [kernel.kallsyms]        [k] balance_pgdat
     0.86%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_node
     0.86%     0.04%  swapper          [kernel.kallsyms]        [k] tick_nohz_stop_tick
     0.86%     0.01%  kswapd0          [kernel.kallsyms]        [k] shrink_node_memcgs
     0.86%     0.04%  mariadbd         [kernel.kallsyms]        [k] blk_mq_try_issue_list_directly
     0.85%     0.02%  mariadbd         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.83%     0.17%  mariadbd         [kernel.kallsyms]        [k] __find_get_block_slow
     0.83%     0.01%  swapper          [kernel.kallsyms]        [k] blk_mq_end_request
     0.81%     0.43%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.81%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_exit
     0.81%     0.68%  mariadbd         [kernel.kallsyms]        [k] llist_add_batch
     0.80%     0.01%  mariadbd         [kernel.kallsyms]        [k] free_swap_cache
     0.80%     0.01%  mariadbd         [kernel.kallsyms]        [k] try_to_free_swap.part.0
     0.79%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_recvmsg
     0.79%     0.42%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.78%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_generic
     0.77%     0.24%  mariadbd         [kernel.kallsyms]        [k] ttwu_queue_wakelist
     0.76%     0.52%  mariadbd         [kernel.kallsyms]        [k] __audit_syscall_exit
     0.76%     0.00%  swapper          [kernel.kallsyms]        [k] tick_sched_handle
     0.76%     0.03%  swapper          [kernel.kallsyms]        [k] update_process_times
     0.75%     0.25%  mariadbd         [kernel.kallsyms]        [k] futex_wait_setup
     0.75%     0.75%  mariadbd         [kernel.kallsyms]        [k] available_idle_cpu
     0.75%     0.15%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.75%     0.01%  mariadbd         [kernel.kallsyms]        [k] delete_from_swap_cache
     0.74%     0.02%  mariadbd         [kernel.kallsyms]        [k] wake_affine
     0.74%     0.02%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_submit_bio
     0.74%     0.01%  mariadbd         [kernel.kallsyms]        [k] page_referenced
     0.73%     0.04%  swapper          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.73%     0.06%  swapper          [kernel.kallsyms]        [k] blk_update_request
     0.73%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     0.72%     0.14%  mariadbd         [kernel.kallsyms]        [k] switch_fpu_return
     0.71%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sys_recvfrom
     0.69%     0.50%  mariadbd         [kernel.kallsyms]        [k] flush_tlb_func
     0.67%     0.05%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     0.67%     0.01%  swapper          [kernel.kallsyms]        [k] scheduler_tick
     0.67%     0.02%  mariadbd         [kernel.kallsyms]        [k] page_check_references.isra.0
     0.65%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     0.64%     0.11%  mariadbd         [kernel.kallsyms]        [k] __irq_exit_rcu
     0.64%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.63%     0.33%  mariadbd         [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.63%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] schedule
     0.62%     0.04%  mariadbd         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.61%     0.01%  mariadbd         [kernel.kallsyms]        [k] unix_stream_recvmsg
     0.60%     0.05%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_generic
     0.60%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.59%     0.44%  swapper          [kernel.kallsyms]        [k] switch_mm_irqs_off
     0.59%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_da_write_begin
     0.59%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common_lock
     0.59%     0.39%  mariadbd         [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.58%     0.03%  mariadbd         [kernel.kallsyms]        [k] lockless_pages_from_mm
     0.58%     0.47%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.58%     0.58%  mariadbd         [kernel.kallsyms]        [k] __restore_fpregs_from_fpstate
     0.58%     0.03%  mariadbd         [kernel.kallsyms]        [k] __alloc_skb
     0.58%     0.01%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.57%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.57%     0.08%  swapper          [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     0.56%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_def_readable
     0.56%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_lruvec
     0.56%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.55%     0.10%  mariadbd         [kernel.kallsyms]        [k] task_tick_fair
     0.55%     0.01%  swapper          [kernel.kallsyms]        [k] _nohz_idle_balance.constprop.0.isra.0
     0.55%     0.04%  swapper          [kernel.kallsyms]        [k] tick_nohz_restart_sched_tick
     0.53%     0.00%  mariadbd         [kernel.kallsyms]        [k] try_to_unmap
     0.53%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.53%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.53%     0.00%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function_single
     0.52%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.52%     0.52%  swapper          [kernel.kallsyms]        [k] get_typical_interval
     0.51%     0.34%  mariadbd         [kernel.kallsyms]        [k] ktime_get
     0.51%     0.10%  mariadbd         [kernel.kallsyms]        [k] gup_pgd_range
     0.51%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_es_insert_extent
     0.51%     0.03%  mariadbd         [kernel.kallsyms]        [k] free_swap_slot
     0.50%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_getevents
     0.50%     0.20%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.50%     0.04%  mariadbd         [kernel.kallsyms]        [k] nvme_map_data
     0.50%     0.12%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.49%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function_single
     0.49%     0.01%  mariadbd         [kernel.kallsyms]        [k] do_io_getevents
     0.48%     0.12%  mariadbd         [kernel.kallsyms]        [k] wake_affine_weight
     0.48%     0.00%  mariadbd         [kernel.kallsyms]        [k] swapcache_free_entries
     0.47%     0.16%  mariadbd         [kernel.kallsyms]        [k] set_task_cpu
     0.47%     0.02%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_end_io
     0.47%     0.10%  mariadbd         [kernel.kallsyms]        [k] page_vma_mapped_walk
     0.46%     0.01%  mariadbd         [kernel.kallsyms]        [k] read_events
     0.46%     0.01%  swapper          [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.45%     0.45%  mariadbd         [kernel.kallsyms]        [k] update_cfs_group
     0.45%     0.44%  mariadbd         [kernel.kallsyms]        [k] __list_del_entry_valid
     0.45%     0.36%  mariadbd         [kernel.kallsyms]        [k] native_flush_tlb_multi
     0.44%     0.44%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.44%     0.14%  swapper          [kernel.kallsyms]        [k] set_next_entity
     0.44%     0.04%  mariadbd         [kernel.kallsyms]        [k] submit_bio
     0.44%     0.03%  swapper          [kernel.kallsyms]        [k] update_blocked_averages
     0.43%     0.02%  mariadbd         [kernel.kallsyms]        [k] sched_ttwu_pending
     0.42%     0.08%  swapper          [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.42%     0.01%  mariadbd         [kernel.kallsyms]        [k] __mark_inode_dirty
     0.42%     0.00%  kswapd0          [kernel.kallsyms]        [k] shrink_inactive_list
     0.41%     0.03%  mariadbd         [kernel.kallsyms]        [k] gup_pud_range.constprop.0
     0.41%     0.38%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.41%     0.00%  mariadbd         [kernel.kallsyms]        [k] put_swap_page
     0.40%     0.03%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_loop
     0.40%     0.02%  swapper          [kernel.kallsyms]        [k] try_to_wake_up
     0.39%     0.03%  mariadbd         [kernel.kallsyms]        [k] update_blocked_averages
     0.38%     0.00%  mariadbd         [kernel.kallsyms]        [k] add_to_swap
     0.38%     0.05%  mariadbd         [kernel.kallsyms]        [k] gup_pmd_range.constprop.0
     0.38%     0.38%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.38%     0.00%  mariadbd         [kernel.kallsyms]        [k] grab_cache_page_write_begin
     0.38%     0.06%  mariadbd         [kernel.kallsyms]        [k] __delete_from_swap_cache
     0.38%     0.38%  mariadbd         [kernel.kallsyms]        [k] cpuacct_charge
     0.38%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dirty_inode
