# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 381K of event 'cycles'
# Event count (approx.): 6199165226026
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.43%     0.00%  kcompactd0       [kernel.kallsyms]         [k] compact_zone
     0.43%     0.00%  kcompactd0       [kernel.kallsyms]         [k] proactive_compact_node
     0.43%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.43%     0.08%  java             [kernel.kallsyms]         [k] __schedule
     0.43%     0.08%  pool-4-thread-1  [kernel.kallsyms]         [k] mark_buffer_dirty
     0.42%     0.01%  java             [kernel.kallsyms]         [k] ptep_clear_flush
     0.42%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] lock_page_lruvec_irqsave
     0.42%     0.01%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     0.41%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.41%     0.09%  pool-4-thread-1  [kernel.kallsyms]         [k] __pagevec_lru_add
     0.41%     0.39%  pool-4-thread-1  [kernel.kallsyms]         [k] change_protection
     0.41%     0.00%  java             [kernel.kallsyms]         [k] flush_tlb_mm_range
     0.41%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.41%     0.01%  kcompactd0       [kernel.kallsyms]         [k] migrate_pages
     0.41%     0.00%  java             [kernel.kallsyms]         [k] get_signal
     0.41%     0.00%  java             [kernel.kallsyms]         [k] arch_do_signal_or_restart
     0.41%     0.00%  java             [kernel.kallsyms]         [k] do_exit
     0.41%     0.00%  java             [kernel.kallsyms]         [k] do_group_exit
     0.40%     0.07%  pool-4-thread-1  [kernel.kallsyms]         [k] create_empty_buffers
     0.40%     0.03%  kworker/u96:0-e  [kernel.kallsyms]         [k] end_page_writeback
     0.40%     0.00%  java             [kernel.kallsyms]         [k] exit_mmap
     0.40%     0.00%  java             [kernel.kallsyms]         [k] mmput
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] tlb_finish_mmu
     0.40%     0.07%  java             [kernel.kallsyms]         [k] unmap_page_range
     0.40%     0.00%  java             [kernel.kallsyms]         [k] unmap_single_vma
     0.40%     0.00%  java             [kernel.kallsyms]         [k] unmap_vmas
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] task_work_run
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] change_prot_numa
     0.40%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] task_numa_work
     0.40%     0.08%  localfetcher#1   [kernel.kallsyms]         [k] release_pages
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.39%     0.17%  java             [kernel.kallsyms]         [k] flush_tlb_func
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.39%     0.04%  kswapd1          [kernel.kallsyms]         [k] __remove_mapping
     0.38%     0.29%  localfetcher#1   [kernel.kallsyms]         [k] rmqueue_bulk
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_try_to_free_pages
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] shrink_node
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] try_to_free_pages
     0.38%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     0.37%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] shrink_lruvec
     0.37%     0.00%  swapper          [kernel.kallsyms]         [k] asm_common_interrupt
     0.37%     0.00%  swapper          [kernel.kallsyms]         [k] common_interrupt
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.37%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] evict_pages
     0.37%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] balance_dirty_pages
     0.36%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] free_pages_and_swap_cache
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] mem_cgroup_wb_stats
     0.36%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     0.36%     0.35%  localfetcher#1   [kernel.kallsyms]         [k] change_protection
     0.36%     0.01%  java             [kernel.kallsyms]         [k] __x64_sys_sched_yield
     0.35%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] add_to_page_cache_lru
     0.35%     0.00%  swapper          [kernel.kallsyms]         [k] __common_interrupt
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     0.35%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_swap_page
     0.35%     0.00%  swapper          [kernel.kallsyms]         [k] handle_edge_irq
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     0.35%     0.01%  java             [kernel.kallsyms]         [k] swap_readpage
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     0.35%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] migrate_misplaced_page
     0.34%     0.16%  pool-4-thread-1  [kernel.kallsyms]         [k] kmem_cache_alloc
     0.34%     0.01%  java             [kernel.kallsyms]         [k] shrink_page_list
     0.33%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     0.33%     0.00%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.33%     0.00%  swapper          [kernel.kallsyms]         [k] handle_irq_event
     0.33%     0.01%  java             [kernel.kallsyms]         [k] do_sched_yield
     0.33%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.33%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] alloc_page_buffers
     0.33%     0.01%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
     0.33%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_es_insert_delayed_block
     0.33%     0.00%  kswapd1          [kernel.kallsyms]         [k] try_to_unmap_flush_dirty
     0.33%     0.00%  kswapd1          [kernel.kallsyms]         [k] arch_tlbbatch_flush
     0.33%     0.30%  pool-4-thread-1  [kernel.kallsyms]         [k] _raw_spin_lock
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] try_to_free_pages
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_try_to_free_pages
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] shrink_node
     0.32%     0.00%  swapper          [kernel.kallsyms]         [k] __handle_irq_event_percpu
     0.32%     0.23%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.32%     0.00%  swapper          [kernel.kallsyms]         [k] nvme_irq
     0.32%     0.31%  java             [kernel.kallsyms]         [k] clear_page_erms
     0.32%     0.01%  kswapd1          [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.32%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] shrink_lruvec
     0.32%     0.03%  kswapd0          [kernel.kallsyms]         [k] __remove_mapping
     0.32%     0.01%  swapper          [kernel.kallsyms]         [k] nvme_process_cq
     0.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.31%     0.24%  localfetcher#1   [kernel.kallsyms]         [k] try_charge_memcg
     0.31%     0.03%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.31%     0.29%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     0.31%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] evict_pages
     0.31%     0.20%  java             [kernel.kallsyms]         [k] smp_call_function_many_cond
     0.31%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] alloc_buffer_head
     0.30%     0.00%  swapper          [kernel.kallsyms]         [k] nvme_pci_complete_rq
     0.30%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] __ext4_journal_stop
     0.30%     0.00%  C2 CompilerThre  [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.29%     0.00%  kswapd1          [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.29%     0.06%  pool-4-thread-1  [kernel.kallsyms]         [k] migrate_pages
     0.29%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] read_pages
     0.29%     0.17%  pool-4-thread-1  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.28%     0.00%  kworker/u97:13-  [kernel.kallsyms]         [k] worker_thread
     0.28%     0.00%  kworker/u97:13-  [kernel.kallsyms]         [k] kthread
     0.28%     0.00%  kworker/u97:13-  [kernel.kallsyms]         [k] ret_from_fork
     0.28%     0.00%  kworker/u97:13-  [kernel.kallsyms]         [k] process_one_work
     0.28%     0.00%  C2 CompilerThre  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.28%     0.00%  C2 CompilerThre  [kernel.kallsyms]         [k] do_syscall_64
