# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     0.41%     0.01%  swapper          [kernel.kallsyms]      [k] pick_next_task_fair
     0.40%     0.05%  swapper          [kernel.kallsyms]      [k] _raw_spin_lock
     0.40%     0.02%  swapper          [kernel.kallsyms]      [k] flush_smp_call_function_queue
     0.39%     0.01%  postgres         [kernel.kallsyms]      [k] do_filp_open
     0.39%     0.00%  postgres         [kernel.kallsyms]      [k] sock_recvmsg
     0.39%     0.22%  postgres         [kernel.kallsyms]      [k] select_task_rq_fair
     0.39%     0.05%  postgres         [kernel.kallsyms]      [k] __pagevec_lru_add
     0.38%     0.38%  kswapd1          [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     0.38%     0.38%  postgres         [kernel.kallsyms]      [k] next_uptodate_page
     0.38%     0.01%  postgres         [kernel.kallsyms]      [k] path_openat
     0.38%     0.01%  postgres         [kernel.kallsyms]      [k] task_numa_work
     0.38%     0.11%  postgres         [kernel.kallsyms]      [k] __add_to_page_cache_locked
     0.37%     0.30%  swapper          [kernel.kallsyms]      [k] set_next_entity
     0.37%     0.00%  tclsh8.6         [kernel.kallsyms]      [k] __x64_sys_sendto
     0.37%     0.02%  postgres         [kernel.kallsyms]      [k] task_numa_fault
     0.36%     0.00%  tclsh8.6         [kernel.kallsyms]      [k] __sys_sendto
     0.36%     0.00%  postgres         [kernel.kallsyms]      [k] unix_stream_recvmsg
     0.36%     0.36%  swapper          [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.36%     0.00%  swapper          [kernel.kallsyms]      [k] irq_exit_rcu
     0.36%     0.00%  postgres         [kernel.kallsyms]      [k] change_prot_numa
     0.36%     0.02%  postgres         [kernel.kallsyms]      [k] unix_stream_read_generic
     0.36%     0.01%  swapper          [kernel.kallsyms]      [k] sched_ttwu_pending
     0.36%     0.17%  postgres         [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.35%     0.03%  postgres         [kernel.kallsyms]      [k] switch_fpu_return
     0.35%     0.33%  postgres         [kernel.kallsyms]      [k] lock_page_memcg
     0.35%     0.00%  swapper          [kernel.kallsyms]      [k] __softirqentry_text_start
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]      [k] sock_sendmsg
     0.35%     0.00%  postgres         [kernel.kallsyms]      [k] asm_common_interrupt
     0.35%     0.01%  postgres         [kernel.kallsyms]      [k] common_interrupt
     0.35%     0.00%  postgres         [kernel.kallsyms]      [k] task_numa_migrate.isra.0
     0.34%     0.34%  postgres         [kernel.kallsyms]      [k] change_protection
     0.34%     0.05%  kswapd1          [kernel.kallsyms]      [k] shrink_lruvec
     0.34%     0.01%  postgres         [kernel.kallsyms]      [k] migrate_pages
     0.34%     0.01%  postgres         [kernel.kallsyms]      [k] __common_interrupt
     0.34%     0.31%  postgres         [kernel.kallsyms]      [k] mark_wake_futex
     0.34%     0.00%  swapper          [kernel.kallsyms]      [k] ttwu_do_activate
     0.34%     0.01%  postgres         [kernel.kallsyms]      [k] unix_stream_sendmsg
