# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_get_descriptor_buffer
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] available_idle_cpu
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] page_counter_charge
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mem_cgroup_migrate
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_page_copy
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_page_states
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] uncharge_page
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] nmi_handle
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] fill_pmd
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_core_si
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_program_event
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] menu_select
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] read_tsc
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_idle_exit
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __wait_on_bit
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __wait_on_buffer
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] bit_wait_io
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] io_schedule
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] newidle_balance
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] out_of_line_wait_on_bit
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] get_nohz_timer_target
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __mod_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __put_task_struct
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __queue_delayed_work
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] add_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] delayed_put_task_struct
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] kvfree_call_rcu
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] queue_delayed_work_on
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] task_numa_free
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] clockevents_program_event
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rebalance_domains
