# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 261K of event 'cycles'
# Event count (approx.): 5041985941317
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.24%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.24%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] switch_fpu_return
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.23%     0.22%  Native-Transpor  [kernel.kallsyms]                   [k] next_uptodate_page
     0.23%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.23%     0.23%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.23%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] perf_event_comm
     0.23%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.23%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.23%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.23%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.23%     0.02%  kswapd1          [kernel.kallsyms]                   [k] xas_store
     0.22%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_queue_rq
     0.22%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_write
     0.22%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] perf_iterate_sb
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_write_iter
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] bio_endio
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] sock_sendmsg
     0.21%     0.21%  Native-Transpor  [kernel.kallsyms]                   [k] __restore_fpregs_from_fpstate
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] inet6_sendmsg
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.21%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] flush_tlb_func
     0.21%     0.20%  cluster1-nio-wo  [kernel.kallsyms]                   [k] copy_user_enhanced_fast_string
     0.21%     0.20%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.21%     0.10%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.20%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.20%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.20%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.20%     0.20%  kswapd1          [kernel.kallsyms]                   [k] xas_create
     0.19%     0.05%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.19%     0.08%  swapper          [kernel.kallsyms]                   [k] tick_nohz_idle_exit
     0.19%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.19%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.19%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] submit_bio
     0.19%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.19%     0.02%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.18%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.18%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.18%     0.08%  kswapd1          [kernel.kallsyms]                   [k] move_pages_to_lru
     0.18%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.18%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.18%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_complete_rq
     0.18%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] compact_zone
     0.18%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kcompactd
     0.18%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kthread
     0.18%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] ret_from_fork
     0.18%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] migrate_pages
     0.18%     0.06%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
