# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10769144996755
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     0.42%     0.42%  mariadbd         [kernel.kallsyms]                                 [k] __switch_to
     0.41%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] update_blocked_averages
     0.41%     0.03%  swapper          [kernel.kallsyms]                                 [k] update_blocked_averages
     0.41%     0.41%  mariadbd         [kernel.kallsyms]                                 [k] amd_pmu_addr_offset
     0.41%     0.40%  mariadbd         [kernel.kallsyms]                                 [k] __update_load_avg_se
     0.41%     0.04%  swapper          [kernel.kallsyms]                                 [k] sched_clock_cpu
     0.41%     0.03%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_stop_tick
     0.40%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] obj_cgroup_charge
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kswapd
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kthread
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] ret_from_fork
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] balance_pgdat
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node
     0.40%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node_memcgs
     0.40%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] skb_release_data
     0.40%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __mark_inode_dirty
     0.40%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.39%     0.39%  swapper          [kernel.kallsyms]                                 [k] read_tsc
     0.39%     0.04%  swapper          [kernel.kallsyms]                                 [k] rebalance_domains
     0.38%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_do_wakeup
     0.38%     0.34%  swapper          [kernel.kallsyms]                                 [k] switch_mm_irqs_off
     0.37%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_read_actor
     0.37%     0.04%  swapper          [kernel.kallsyms]                                 [k] hrtimer_next_event_without
     0.37%     0.37%  mariadbd         [kernel.kallsyms]                                 [k] update_cfs_rq_h_load
     0.37%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] skb_copy_datagram_iter
     0.37%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_read_actor
     0.36%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] __skb_datagram_iter
     0.36%     0.36%  swapper          [kernel.kallsyms]                                 [k] native_sched_clock
     0.35%     0.04%  tclsh8.6         [kernel.kallsyms]                                 [k] dequeue_task_fair
     0.35%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] skb_copy_datagram_iter
     0.35%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] check_preempt_curr
     0.35%     0.05%  swapper          [kernel.kallsyms]                                 [k] clockevents_program_event
     0.35%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dirty_inode
     0.35%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] mark_wake_futex
     0.35%     0.05%  swapper          [kernel.kallsyms]                                 [k] __hrtimer_start_range_ns
     0.35%     0.05%  swapper          [kernel.kallsyms]                                 [k] load_balance
     0.34%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] obj_cgroup_charge
     0.34%     0.20%  swapper          [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     0.34%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __skb_datagram_iter
     0.34%     0.26%  swapper          [kernel.kallsyms]                                 [k] __hrtimer_next_event_base
     0.34%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] default_send_IPI_single_phys
     0.34%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] gup_pud_range.constprop.0
