# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7164435269843
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] wb_workfn
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] wb_writeback
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] do_writepages
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] __writeback_single_inode
     0.51%     0.05%  kworker/u98:2-w  [kernel.kallsyms]         [k] ext4_writepages
     0.51%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] update_process_times
     0.50%     0.07%  java             [kernel.kallsyms]         [k] yield_task_fair
     0.50%     0.47%  LocalJobRunner   [kernel.kallsyms]         [k] copy_page_to_iter
     0.50%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_handle
     0.49%     0.01%  java             [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.49%     0.05%  java             [kernel.kallsyms]         [k] switch_fpu_return
     0.49%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.48%     0.21%  java             [kernel.kallsyms]         [k] update_curr
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kthread
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]         [k] ret_from_fork
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kcompactd
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]         [k] compact_zone
     0.47%     0.00%  kcompactd0       [kernel.kallsyms]         [k] proactive_compact_node
     0.47%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.46%     0.00%  kcompactd0       [kernel.kallsyms]         [k] migrate_pages
     0.46%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait
     0.46%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_lruvec
     0.46%     0.21%  java             [kernel.kallsyms]         [k] charge_memcg
     0.45%     0.45%  java             [kernel.kallsyms]         [k] __restore_fpregs_from_fpstate
     0.44%     0.04%  java             [kernel.kallsyms]         [k] lru_cache_add
     0.43%     0.33%  java             [kernel.kallsyms]         [k] error_entry
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] worker_thread
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] kthread
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.43%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] schedule
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] process_one_work
     0.43%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] __block_commit_write.constprop.0.isra.0
     0.42%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.42%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] __schedule
     0.42%     0.12%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.41%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_journal_start_sb
     0.41%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wake
     0.41%     0.05%  java             [kernel.kallsyms]         [k] ptep_clear_flush
     0.41%     0.40%  LocalJobRunner   [kernel.kallsyms]         [k] __get_user_nocheck_1
     0.41%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.40%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] create_empty_buffers
     0.39%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] kthread
     0.39%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ret_from_fork
     0.39%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] worker_thread
     0.39%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] process_one_work
     0.39%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.39%     0.16%  java             [kernel.kallsyms]         [k] __pagevec_lru_add
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages
     0.38%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] __mod_lruvec_state
     0.38%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_wb_stats
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.38%     0.18%  java             [kernel.kallsyms]         [k] update_load_avg
     0.38%     0.10%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.38%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] kmem_cache_alloc
     0.37%     0.00%  java             [kernel.kallsyms]         [k] sysvec_call_function
     0.37%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait_queue_me
     0.37%     0.37%  LocalJobRunner   [kernel.kallsyms]         [k] copy_page
     0.37%     0.02%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     0.36%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] jbd2__journal_start
     0.36%     0.00%  java             [kernel.kallsyms]         [k] flush_tlb_mm_range
     0.36%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] try_to_wake_up
     0.35%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_page_buffers
     0.35%     0.00%  java             [kernel.kallsyms]         [k] generic_smp_call_function_single_interrupt
     0.35%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] __cond_resched
     0.35%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_get_block_prep
     0.35%     0.01%  java             [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.34%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] scheduler_tick
     0.34%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] mark_buffer_dirty
     0.34%     0.00%  kswapd1          [kernel.kallsyms]         [k] try_to_release_page
     0.34%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] down_read_trylock
     0.34%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_buffer_head
     0.34%     0.00%  java             [kernel.kallsyms]         [k] __sysvec_call_function
     0.33%     0.00%  kswapd1          [kernel.kallsyms]         [k] ext4_releasepage
     0.33%     0.05%  VM Thread        [kernel.kallsyms]         [k] free_unref_page_list
     0.33%     0.00%  java             [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.33%     0.01%  kswapd1          [kernel.kallsyms]         [k] jbd2_journal_try_to_free_buffers
     0.33%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] wake_up_q
     0.33%     0.30%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_read_batch
     0.32%     0.20%  java             [kernel.kallsyms]         [k] mpol_misplaced
     0.32%     0.10%  java             [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.32%     0.32%  java             libc.so.6                 [.] 0x00000000001b29bf
     0.32%     0.25%  java             [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.32%     0.04%  java             [kernel.kallsyms]         [k] task_tick_fair
     0.32%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] page_add_new_anon_rmap
     0.31%     0.01%  java             [kernel.kallsyms]         [k] __mod_lruvec_state
     0.31%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] __count_memcg_events
     0.31%     0.06%  java             [kernel.kallsyms]         [k] free_unref_page
     0.30%     0.22%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.29%     0.03%  kcompactd0       [kernel.kallsyms]         [k] compaction_alloc
     0.27%     0.03%  VM Thread        [kernel.kallsyms]         [k] free_unref_page_commit.constprop.0
     0.27%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] error_entry
     0.27%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] mark_page_accessed
     0.27%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] lock_page_lruvec_irqsave
     0.26%     0.00%  kworker/u97:12-  [kernel.kallsyms]         [k] kthread
     0.26%     0.00%  kworker/u97:12-  [kernel.kallsyms]         [k] ret_from_fork
     0.26%     0.00%  kworker/u97:12-  [kernel.kallsyms]         [k] worker_thread
     0.26%     0.00%  kworker/u97:12-  [kernel.kallsyms]         [k] process_one_work
     0.26%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_reserve_inode_write
