# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.48%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] create_page_buffers
     0.48%     0.05%  kswapd0          [kernel.kallsyms]                                 [k] page_cache_delete
     0.47%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] __mod_memcg_lruvec_state
     0.47%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] zero_user_segments
     0.47%     0.47%  Executor task l  [kernel.kallsyms]                                 [k] cpuacct_charge
     0.47%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] generic_update_time
     0.47%     0.47%  Executor task l  [kernel.kallsyms]                                 [k] check_cpu_stall
     0.47%     0.37%  Executor task l  [kernel.kallsyms]                                 [k] _raw_spin_lock
     0.47%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     0.47%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] jbd2__journal_start
     0.47%     0.06%  kswapd0          [kernel.kallsyms]                                 [k] free_unref_page_list
     0.46%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_page_list
     0.46%     0.14%  Executor task l  [kernel.kallsyms]                                 [k] clockevents_program_event
     0.46%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] create_empty_buffers
     0.45%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.45%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] nvme_map_data
     0.45%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] kthread
     0.45%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.45%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] worker_thread
     0.44%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __remove_mapping
     0.44%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] process_one_work
     0.44%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] blk_update_request
     0.43%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge_statistics.constprop.0
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_reserve_inode_write
     0.43%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] alloc_page_buffers
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] wb_do_writeback
