# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10497091417354
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
     0.39%     0.39%  mariadbd         [kernel.kallsyms]        [k] __switch_to_asm
     0.39%     0.04%  mariadbd         [kernel.kallsyms]        [k] gup_pud_range.constprop.0
     0.39%     0.01%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_actor
     0.38%     0.04%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.38%     0.38%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.38%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_actor
     0.38%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] dequeue_task_fair
     0.38%     0.38%  mariadbd         [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.38%     0.21%  mariadbd         [kernel.kallsyms]        [k] mark_wake_futex
     0.37%     0.01%  mariadbd         [kernel.kallsyms]        [k] skb_copy_datagram_iter
     0.37%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] skb_copy_datagram_iter
     0.37%     0.01%  mariadbd         [kernel.kallsyms]        [k] __mark_inode_dirty
     0.36%     0.02%  mariadbd         [kernel.kallsyms]        [k] __skb_datagram_iter
     0.36%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __skb_datagram_iter
     0.36%     0.05%  swapper          [kernel.kallsyms]        [k] load_balance
     0.35%     0.10%  mariadbd         [kernel.kallsyms]        [k] default_send_IPI_single_phys
     0.35%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] obj_cgroup_charge
     0.35%     0.06%  mariadbd         [kernel.kallsyms]        [k] check_preempt_curr
     0.35%     0.07%  tclsh8.6         [kernel.kallsyms]        [k] select_task_rq_fair
     0.35%     0.10%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_wait_on_overflow
     0.34%     0.13%  mariadbd         [kernel.kallsyms]        [k] gup_pmd_range.constprop.0
     0.34%     0.06%  swapper          [kernel.kallsyms]        [k] clockevents_program_event
     0.34%     0.23%  mariadbd         [kernel.kallsyms]        [k] update_rq_clock_task
     0.34%     0.01%  mariadbd         [kernel.kallsyms]        [k] pagecache_get_page
     0.34%     0.34%  swapper          [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.34%     0.05%  mariadbd         [kernel.kallsyms]        [k] select_idle_core
     0.33%     0.05%  swapper          [kernel.kallsyms]        [k] __hrtimer_start_range_ns
     0.33%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] skb_release_head_state
     0.32%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dirty_inode
     0.32%     0.32%  swapper          [kernel.kallsyms]        [k] llist_reverse_order
     0.32%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] dequeue_entity
     0.32%     0.03%  swapper          [kernel.kallsyms]        [k] hrtimer_next_event_without
     0.32%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] unix_destruct_scm
     0.31%     0.00%  mariadbd         [kernel.kallsyms]        [k] grab_cache_page_write_begin
     0.31%     0.19%  swapper          [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.31%     0.01%  mariadbd         [kernel.kallsyms]        [k] __smp_call_single_queue
     0.31%     0.13%  tclsh8.6         [kernel.kallsyms]        [k] kfree
     0.31%     0.31%  mariadbd         [kernel.kallsyms]        [k] save_fpregs_to_fpstate
     0.30%     0.30%  mariadbd         [kernel.kallsyms]        [k] llist_add_batch
     0.30%     0.18%  mariadbd         [kernel.kallsyms]        [k] migrate_task_rq_fair
     0.30%     0.30%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_addr_offset
     0.30%     0.22%  swapper          [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.29%     0.01%  mariadbd         [kernel.kallsyms]        [k] run_rebalance_domains
     0.29%     0.03%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_idle
     0.29%     0.09%  tclsh8.6         [kernel.kallsyms]        [k] sock_wfree
     0.29%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_fdatasync
     0.29%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_sync_file
     0.29%     0.01%  mariadbd         [kernel.kallsyms]        [k] kmalloc_reserve
     0.29%     0.08%  swapper          [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.29%     0.29%  mariadbd         [kernel.kallsyms]        [k] __entry_text_start
     0.29%     0.08%  mariadbd         [kernel.kallsyms]        [k] refill_obj_stock
     0.29%     0.09%  swapper          [kernel.kallsyms]        [k] get_next_timer_interrupt
     0.28%     0.28%  swapper          [kernel.kallsyms]        [k] __switch_to
     0.28%     0.02%  mariadbd         [kernel.kallsyms]        [k] nvme_pci_setup_prps
     0.28%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] refill_obj_stock
     0.28%     0.19%  mariadbd         [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.28%     0.18%  mariadbd         [kernel.kallsyms]        [k] plist_add
     0.27%     0.20%  mariadbd         [kernel.kallsyms]        [k] kmem_cache_free
     0.27%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] select_idle_sibling
     0.27%     0.03%  mariadbd         [kernel.kallsyms]        [k] sched_clock_cpu
