# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11391823713556
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.33%     0.02%  Sampler Reader   [kernel.kallsyms]   [k] __handle_mm_fault
     0.32%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_handle
     0.32%     0.00%  VM Thread        [kernel.kallsyms]   [k] exc_page_fault
     0.32%     0.03%  java             [kernel.kallsyms]   [k] lru_cache_add
     0.32%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] exc_page_fault
     0.32%     0.15%  java             [kernel.kallsyms]   [k] charge_memcg
     0.32%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] lru_cache_add
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_dirty_inode
     0.32%     0.03%  java             [kernel.kallsyms]   [k] mem_cgroup_migrate
     0.32%     0.03%  java             [kernel.kallsyms]   [k] lock_page_lruvec_irq
     0.32%     0.29%  java             [kernel.kallsyms]   [k] page_vma_mapped_walk
     0.31%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] get_page_from_freelist
     0.31%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] do_user_addr_fault
     0.31%     0.27%  localfetcher#1   [kernel.kallsyms]   [k] _raw_spin_lock
     0.30%     0.00%  java             [kernel.kallsyms]   [k] __alloc_pages_slowpath.constprop.0
     0.30%     0.01%  VM Thread        [kernel.kallsyms]   [k] do_user_addr_fault
     0.30%     0.00%  java             [kernel.kallsyms]   [k] __mem_cgroup_uncharge
     0.30%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_block_write_begin
     0.30%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     0.30%     0.12%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_mark_iloc_dirty
     0.30%     0.28%  pool-4-thread-1  [kernel.kallsyms]   [k] _raw_spin_lock
