# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.58%     0.32%  LocalJobRunner   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.58%     0.57%  InMemoryMerger   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.57%     0.25%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.57%     0.02%  java             [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.55%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_swap_page
     0.54%     0.54%  pool-4-thread-1  [kernel.kallsyms]   [k] clear_page_erms
     0.52%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] exc_page_fault
     0.51%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] swapin_readahead
     0.51%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit
     0.50%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.50%     0.02%  java             [kernel.kallsyms]   [k] __alloc_pages
     0.49%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_user_addr_fault
     0.47%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_timer
     0.47%     0.47%  LocalJobRunner   [kernel.kallsyms]   [k] clear_page_erms
     0.46%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __read_swap_cache_async
     0.46%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.45%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.45%     0.00%  java             [kernel.kallsyms]   [k] arch_do_signal_or_restart
     0.45%     0.00%  java             [kernel.kallsyms]   [k] get_signal
     0.45%     0.03%  java             [kernel.kallsyms]   [k] update_process_times
     0.45%     0.00%  java             [kernel.kallsyms]   [k] do_exit
     0.45%     0.00%  java             [kernel.kallsyms]   [k] do_group_exit
     0.45%     0.00%  java             [kernel.kallsyms]   [k] exit_mmap
     0.45%     0.00%  java             [kernel.kallsyms]   [k] mmput
